,data,data,lci,lci,lci,lci,random_walk,random_walk,random_walk,random_walk,direct_neighbor,direct_neighbor,direct_neighbor,direct_neighbor,diamond,diamond,diamond,diamond,gcn,gcn,gcn,gcn,node2vec,node2vec,node2vec,node2vec
C0917798,Cerebral Ischemia,,0.31666666666666665,0.13333333333333333,0.9132926187380024,0.052562045466091716,0.08333333333333333,0.0,0.8713248498359032,0.003912342497839267,0.0,0.0,0.6544561582760543,0.0006504320690662817,0.2333333333333333,0.1,0.6356364945197843,0.026400398702656067,0.16666666666666666,0.03333333333333333,0.6241083039197474,0.0113491732224978,0.13333333333333333,0.03333333333333333,0.6901123908601152,0.004614032796865661
C0017639,Gliosis,,0.18,0.03666666666666667,0.8604463925836356,0.015580242316947572,0.15,0.03666666666666667,0.8363137537593403,0.02368836884377994,0.0,0.0,0.6927793538585558,0.0015323193764195445,0.11333333333333333,0.09333333333333334,0.5603757789973026,0.048686170638752864,0.18666666666666668,0.11,0.6094705143707563,0.0283075782681727,0.03666666666666667,0.016666666666666666,0.6278116764331999,0.002313893823174677
C0020295,Hydronephrosis,urinary system ,0.18809523809523807,0.13095238095238096,0.8272345805410772,0.04495230241210984,0.13333333333333333,0.08809523809523809,0.7667094923412403,0.024359852515002837,0.0738095238095238,0.014285714285714284,0.7110619880863738,0.00572410849509211,0.08809523809523809,0.08809523809523809,0.5447502814416906,0.0884842819710883,0.11666666666666667,0.014285714285714284,0.5492150657731447,0.005779871330549275,0.042857142857142864,0.0,0.644108893557423,0.0025282537727079005
C2674432,Decreased bone mineral density Z score,,0.13333333333333333,0.06666666666666668,0.6744522382744151,0.00844263892019494,0.13333333333333333,0.06666666666666668,0.7128296248122513,0.06823070774366173,0.13333333333333333,0.06666666666666668,0.6151886777844877,0.010720143948956285,0.03333333333333333,0.03333333333333333,0.5099324878834329,0.03346802910667286,0.0,0.0,0.4564384261624935,0.0007718650058782405,0.03333333333333333,0.0,0.5544479026339015,0.0011355082134247676
C1832160,Poor temperature regulation,,0.0,0.0,0.6234835475936326,0.000539141853035339,0.1,0.0,0.7307049705295402,0.003955239773163993,0.2,0.1,0.5960876224068316,0.0055024943808125535,0.1,0.1,0.5437207035782243,0.02504176721737516,0.2,0.0,0.8355733976887734,0.0032200168347113613,0.0,0.0,0.6429943843690538,0.00031424495853378304
C0432040,"Simple syndactyly of toes, first web space",,0.1,0.06666666666666668,0.7118862419120151,0.008043820155579605,0.06666666666666668,0.03333333333333333,0.8095422742329959,0.00973622816513255,0.0,0.0,0.5595724590569953,0.000689642975364833,0.05,0.0,0.5183210272127797,0.0018878668772563574,0.08333333333333333,0.0,0.4779503730534659,0.003974726105141309,0.08333333333333333,0.05,0.5969188260425373,0.003087932968301362
C0338451,Frontotemporal dementia,,0.3,0.1,0.8592309834315681,0.05802986904449205,0.1,0.1,0.8713161925093982,0.051745482244164184,0.0,0.0,0.7577319348401169,0.0006494259416007202,0.0,0.0,0.5431916276047709,0.0008892248444938065,0.1,0.0,0.7802547918503736,0.004510369804221738,0.0,0.0,0.418833248248016,9.37022217193988e-05
C0007114,Malignant neoplasm of skin,cancer,0.2,0.0,0.7618378905343299,0.005676830264889136,0.1,0.0,0.8038925769462886,0.0031395833576068444,0.0,0.0,0.6815944013741237,0.000741131212530056,0.1,0.1,0.568792070934497,0.014789297729840443,0.2,0.15,0.6545308945731396,0.01394539440821429,0.0,0.0,0.6084141868994012,0.00042019886085499
C1859717,Depressed nasal tip,,0.3,0.2,0.8487399053188527,0.043494667270098784,0.3,0.2,0.9455003248862898,0.03917118163888031,0.2,0.1,0.6931495405179616,0.0072563277176548036,0.1,0.0,0.5434883505058944,0.0018982615942009558,0.2,0.0,0.7659287106655527,0.006620674564858926,0.1,0.1,0.8650584795321636,0.009448318433261277
C3714796,Isolated somatotropin deficiency,,0.0,0.0,0.8192098662207359,0.0014468067260095829,0.03333333333333333,0.0,0.7943050910442215,0.0011140041470055766,0.0,0.0,0.5386279883562493,0.0004288781969876731,0.0,0.0,0.4930323299888517,0.00013468994888131896,0.06666666666666668,0.0,0.4273542982782113,0.0017782552269085031,0.03333333333333333,0.0,0.5507199925678187,0.0006385197006070338
C0152459,Linear atrophy,,0.25,0.1,0.935183594837991,0.012082019612717234,0.15,0.0,0.9142326617769936,0.006558515584124733,0.0,0.0,0.7118593909571999,0.0007469068032373456,0.05,0.0,0.5183119023303314,0.001580135882464696,0.4,0.15,0.8361688793983847,0.02183207691500569,0.3,0.1,0.8572764831491969,0.009921040221070815
C1836509,Hypotonic seizures,,0.3,0.3,0.8252448136631549,0.024408011506299936,0.3,0.3,0.8470506334988628,0.023596261483022414,0.3,0.1,0.6445955353413468,0.014716625398460253,0.2,0.1,0.6438784981667981,0.10331335728421616,0.1,0.0,0.5501833201837844,0.003059626873524609,0.2,0.0,0.750447858170511,0.003190844249426545
C1866134,Wide anterior fontanel,,0.305,0.235,0.8471963463952029,0.09422670355054916,0.28,0.195,0.8292502207967276,0.06968198301688495,0.145,0.05,0.6858039325059266,0.006993148148450229,0.12,0.12,0.5664293682889415,0.1204193188881984,0.075,0.0,0.5321724073815833,0.0035293030967359696,0.02,0.02,0.7072398084878909,0.02199703605183893
C1849039,Metaphyseal widening,,0.2,0.05,0.8119750793282254,0.00925788935269169,0.05,0.0,0.8088607692903027,0.0035255886105200283,0.0,0.0,0.599371952635245,0.0012584443615066359,0.05,0.0,0.5182470397028094,0.0009308386563709057,0.2,0.15,0.5757209194334802,0.02673102998785493,0.13333333333333333,0.03333333333333333,0.7382640662487423,0.005464680088261515
C1843700,Variation in muscle fiber size,,0.0,0.0,0.7598173251009703,0.0007456400421882826,0.0,0.0,0.6973028178821782,0.00031109596552502923,0.0,0.0,0.4859152314191542,7.427092644376604e-05,0.0,0.0,0.49303653497980604,7.427092644376604e-05,0.0,0.0,0.3861055661297061,0.00031787420062557545,0.2,0.15,0.6842648902093682,0.008553541932655406
C0332573,Macule,,0.25,0.2,0.8647669235769337,0.026054347882165613,0.15,0.1,0.8231242455195469,0.056149639689816865,0.05,0.05,0.6485119323985514,0.002933589067891374,0.0,0.0,0.4930355650478225,8.820820068435815e-05,0.05,0.0,0.571404030086359,0.002816426245281129,0.0,0.0,0.7342951991828397,0.0008806952067683762
C2364082,Sense of smell impaired,,0.2,0.15,0.6507510331058179,0.027327943606531912,0.05,0.05,0.6017736917862283,0.050862965017604934,0.15,0.15,0.5914194177462042,0.008129764113808061,0.1,0.05,0.5436527835817431,0.05147245822822684,0.1,0.0,0.5667467613873799,0.0022653682472139466,0.05,0.0,0.5374936156382042,0.0009890740726003463
C1456784,Paranoia,,0.0,0.0,0.6826798068440358,0.0005272153719819946,0.1,0.0,0.7077146306356502,0.0035965464437500297,0.0,0.0,0.6437827924037703,0.0007668482680941961,0.0,0.0,0.4930352416771139,9.28548214866057e-05,0.0,0.0,0.3026245530946743,0.00012615614373804834,0.0,0.0,0.6147142127501509,0.00031156591529801395
C0005612,Birth Weight,,0.0,0.0,0.4992712588191607,0.00015060732405055625,0.0,0.0,0.5853277014481991,0.0007471202674964553,0.0,0.0,0.5425698570367621,0.0007360187083970178,0.0,0.0,0.4930375046416636,6.0337533191168777e-05,0.0,0.0,0.4896653360564426,0.00018441925007411884,0.0,0.0,0.5146931860378758,0.0001759319417496267
C0311394,Difficulty walking,,0.0,0.0,0.7972286731692212,0.0012964142334607731,0.0,0.0,0.7719089642359498,0.0008252094394490473,0.0,0.0,0.5344890849976777,0.0003620357607899772,0.0,0.0,0.49303297724105893,0.00012539023199287176,0.06666666666666668,0.0,0.5052717138875987,0.0027433487487193427,0.03333333333333333,0.0,0.5751362440006192,0.0012950465471875093
C1276035,Pena-Shokeir syndrome type I,,0.2,0.2,0.6675423532142029,0.0536539183415395,0.7,0.5,0.9044186586214898,0.11764341646163205,0.75,0.45,0.8730355070782085,0.07139451432234026,0.05,0.05,0.5183870967741935,0.05005105291362425,0.0,0.0,0.7294012531909956,0.0022343192690957546,0.15,0.1,0.8466233464841031,0.006903564473445976
C0011853,"Diabetes Mellitus, Experimental",,0.1509090909090909,0.04818181818181819,0.8724559440559441,0.01545374266858487,0.11272727272727273,0.04727272727272727,0.885169103623649,0.014533720231743747,0.0,0.0,0.8054222716677263,0.0032506794240056624,0.08545454545454545,0.04636363636363637,0.5498536554354737,0.010408784946292243,0.056363636363636366,0.00909090909090909,0.7039189235007417,0.00725208981380597,0.027272727272727268,0.0,0.81593909726637,0.0032266911333834326
C4025662,Abnormality of the ulna,,0.3,0.3,0.808100895716341,0.04674613936791575,0.4,0.1,0.8541328259154406,0.018510805284640608,0.1,0.0,0.7390309555854644,0.003011701015864097,0.2,0.2,0.5944075741402515,0.0700371264154446,0.3,0.2,0.7374808558035921,0.033210954720931066,0.0,0.0,0.7922541421079501,0.001202150976255834
C0426817,Short ribs,,0.1,0.06666666666666668,0.8244913600891863,0.0111473718425683,0.13333333333333333,0.1,0.8059875510962469,0.01629000559853415,0.1,0.0,0.6162532515793385,0.002789058734453942,0.03333333333333333,0.03333333333333333,0.5099281555803294,0.008463378816096032,0.0,0.0,0.5229460857178247,0.0012053096498442597,0.0,0.0,0.6370695528304224,0.0006158954365991369
C1848736,Distal amyotrophy,,0.06000000000000001,0.02,0.809304767661738,0.004417558059695995,0.016666666666666666,0.0,0.7704502619424036,0.001510415584120873,0.0,0.0,0.6171608698347748,0.0005729991235783169,0.02,0.0,0.5130810006509811,0.0006380284424523332,0.0,0.0,0.3967072754890108,0.00047982857730845344,0.02,0.0,0.6362233795219938,0.000906802595077157
C3809811,"PARKINSON DISEASE 19, JUVENILE-ONSET",,0.4,0.1,0.8590824708776165,0.00972847241279684,0.5,0.1,0.8298138952058292,0.014126201124156162,0.0,0.0,0.8297790875759967,0.0018671281689767016,0.4,0.3,0.6953914698101823,0.2075436675963936,0.2,0.1,0.8473987097971876,0.013933899075428495,0.3,0.3,0.7959298278182577,0.02835182919063386
C0232940,Secondary physiologic amenorrhea,,0.31666666666666665,0.08333333333333333,0.8524647069750161,0.02106241129811109,0.36666666666666653,0.1,0.7849857589548309,0.015555161014757474,0.36666666666666653,0.1,0.6978661651342064,0.011884704351254206,0.26666666666666666,0.18333333333333326,0.6279434073248507,0.07262649214312512,0.31666666666666665,0.21666666666666665,0.6817683663044488,0.17920232734279445,0.13333333333333333,0.08333333333333333,0.7689521996223028,0.010364661102637772
C2316810,Chronic kidney disease stage 5,,0.2,0.0,0.7127150400272526,0.007353304338522519,0.2,0.1,0.7926077329245443,0.032177358820268925,0.13333333333333333,0.0,0.7367879097567396,0.0037430212777491813,0.1,0.1,0.5604543131880892,0.039312680919740835,0.2,0.06666666666666668,0.6313296480388969,0.010737843077762021,0.1,0.03333333333333333,0.8180904600424272,0.004436619923898006
C0392525,Nephrolithiasis,,0.1,0.03333333333333333,0.7162083062343212,0.003817794525514329,0.125,0.0,0.7794926290687231,0.003781873914708287,0.06666666666666668,0.03333333333333333,0.6481562993589148,0.004335385087049946,0.0,0.0,0.4930316826163709,0.00014399096201740176,0.03333333333333333,0.0,0.5011091238502277,0.0008470391478511683,0.06666666666666668,0.0,0.7334394066090619,0.002333190592559156
C0426970,Spastic Quadriplegia,,0.025,0.0,0.7056790725768979,0.0012386870640379215,0.025,0.0,0.740155035157823,0.00206807477180017,0.03333333333333333,0.0,0.5998100780596598,0.001193657482091135,0.0,0.0,0.5055844020072483,0.00039380082127956804,0.0,0.0,0.4157528730291484,0.000576154408783032,0.05833333333333333,0.025,0.5356290462472508,0.009272728042389293
C0023485,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,,0.1,0.0,0.9123294346978558,0.005230375526891205,0.1,0.0,0.8764619883040936,0.0022056315990864428,0.0,0.0,0.6307760141093475,0.0007583666277339868,0.1,0.0,0.5935440452984313,0.003884859127268297,0.1,0.0,0.8694746124570685,0.0044064951189064176,0.2,0.0,0.8725749559082893,0.004770592539239629
C0002880,Autoimmune hemolytic anemia,immune system ,0.2,0.0,0.8950167115402471,0.00650472158006436,0.2,0.1,0.8915188933246683,0.008590021681414869,0.1,0.0,0.7120381115959521,0.002869390487467291,0.0,0.0,0.4930368582304336,6.962603088540491e-05,0.15,0.15,0.7263949494011699,0.013144977253830726,0.0,0.0,0.7010119766038436,0.0009019092450183564
C2677378,Duodenal villous atrophy,,0.25,0.2,0.7550508332946475,0.027915760631194875,0.3,0.1,0.7471635485817743,0.024666953850311216,0.3,0.05,0.6918527459263728,0.010272854596501749,0.2,0.2,0.5944153010538045,0.07672237007697988,0.15,0.05,0.6835151571421939,0.0064749259409209855,0.05,0.0,0.653049997678845,0.001685936305388815
C4020847,Abnormality of pelvic girdle bone morphology,,0.29166666666666663,0.19166666666666665,0.8260219650851186,0.04261892714220837,0.10833333333333332,0.05,0.8032122775221897,0.006573651437695056,0.05833333333333333,0.0,0.5999920612791797,0.0018923477476064125,0.0,0.0,0.5097193178121661,0.0004152192023142233,0.14166666666666666,0.05833333333333333,0.5570573291819632,0.007772166577355769,0.03333333333333333,0.0,0.6264688569791037,0.001866551271733013
C0079731,B-Cell Lymphomas,cancer,0.15,0.1,0.8628191143705903,0.01834247646343923,0.1,0.1,0.8350190308206461,0.006951746282101841,0.0,0.0,0.6352859264760491,0.001705008722270092,0.25,0.1,0.6195495265503157,0.021673397531200254,0.15,0.1,0.5692153267731154,0.015062197551702709,0.0,0.0,0.8270910694392871,0.0009966945098487314
C4025252,Abnormal nasal morphology,,0.35,0.15,0.811651657227741,0.011907800934719943,0.2,0.05,0.8791082536440442,0.009713581039133985,0.45,0.0,0.7158690000928419,0.008572601495456434,0.1,0.0,0.5434732151146597,0.0018193701167650528,0.0,0.0,0.7379375174078545,0.0017815910139787066,0.05,0.0,0.8065035744127751,0.002922265970978926
C0687120,Nephronophthisis,monogenic ,0.35,0.15,0.784840289707043,0.02950488229608018,0.1,0.1,0.7773527090394168,0.03541138300055625,0.1,0.05,0.6580087283532199,0.004659160930438851,0.2,0.15,0.5942499651794421,0.0731068871245991,0.25,0.05,0.7620223780119783,0.019540040955980238,0.05,0.05,0.8344189609545476,0.027635217924656258
C0010964,Dandy-Walker Syndrome,nervous system ,0.2,0.1,0.7973157739892539,0.013584904187472557,0.16666666666666666,0.06666666666666668,0.8162447159381241,0.011056694673494448,0.1,0.03333333333333333,0.677938557780152,0.003971657537739449,0.1,0.0,0.5600470726684318,0.0027144739989532697,0.2333333333333333,0.2,0.6909245753394961,0.04009651993909803,0.06666666666666668,0.0,0.762227280469488,0.0024687746419614466
C0007786,Brain Ischemia,nervous system ,0.14444444444444446,0.04722222222222222,0.8898899341778441,0.01319283665673444,0.15694444444444444,0.036111111111111115,0.8739419036678259,0.01632774634026636,0.0,0.0,0.7324687060150687,0.0011805244722196786,0.11805555555555555,0.07222222222222223,0.5880741974043716,0.015543181131996176,0.14305555555555555,0.0125,0.6603869768380527,0.01932097971225485,0.10416666666666667,0.03333333333333333,0.7774600513330021,0.025274457675148986
C1856749,Hypoplastic-absent toenails,,0.5,0.5,0.7674170341146438,0.09916923776380678,0.4,0.25,0.8656138315154328,0.14105862772361216,0.3,0.05,0.7440310977024832,0.01894501610585105,0.4,0.4,0.6957646785797168,0.17967534534103616,0.25,0.25,0.7199164539336274,0.03529498332530412,0.35,0.2,0.9082548155024368,0.037907713115663065
C0020507,Hyperplasia,,0.06666666666666668,0.0,0.8297315498583439,0.002405982463009097,0.03333333333333333,0.0,0.7522463734460391,0.0019393010276019546,0.0,0.0,0.6436982335547196,0.000591465889544997,0.03333333333333333,0.0,0.6095319926307805,0.0019615296448627453,0.06666666666666668,0.0,0.6244190546963293,0.001790657057697582,0.06666666666666668,0.0,0.6269727369838837,0.0014371118985280088
C0018781,Noise-induced hearing loss,,0.0,0.0,0.5464643652561246,0.001435203801115885,0.4,0.2,0.8544821826280623,0.06999176710743868,0.4,0.4,0.6991276911655531,0.07859926692339812,0.2,0.2,0.594329992576095,0.01670378446929275,0.0,0.0,0.5875742390497403,0.0007454580600401446,0.2,0.2,0.7738121752041573,0.20076227031756586
C0020455,Hypergammaglobulinemia,,0.0,0.0,0.7168051236831113,0.0002644782819216222,0.0,0.0,0.7510790365248063,0.0002744287932344012,0.0,0.0,0.4902933122940549,4.640801930573604e-05,0.0,0.0,0.4930384740335082,4.640801930573604e-05,0.0,0.0,0.3057734255348773,9.44899105035866e-05,0.0,0.0,0.3500812178029424,8.420459940867326e-05
C0206762,"Limb Deformities, Congenital",,0.25,0.1,0.8154558536811811,0.017947350813009227,0.0,0.0,0.8172825178720641,0.0011931024990567368,0.0,0.0,0.5879909014947544,0.0007851321887865268,0.05,0.05,0.5183304707083836,0.002064984367313181,0.15,0.05,0.6321348992665492,0.0044811313073736155,0.05,0.05,0.7851870764088758,0.004851560499307994
C0038013,Ankylosing spondylitis,musculoskeletal system ,0.05,0.0,0.4324483638895336,0.0011489987931169099,0.05,0.0,0.7025342306799722,0.0029950603426257263,0.1,0.0,0.587789510327222,0.0024709221691653115,0.0,0.0,0.4930378278022743,5.569393093524347e-05,0.05,0.05,0.5133928985843583,0.004967822495182924,0.0,0.0,0.5801113947551636,0.000801408974070974
C0158733,Hand polydactyly,,0.05,0.0,0.8206326000185649,0.0022247100117164433,0.05,0.0,0.7707834400816858,0.003116486425828137,0.0,0.0,0.6331558061821221,0.001138124077329382,0.0,0.0,0.5178606237816764,0.0002657082033435599,0.15,0.05,0.6895804325628887,0.00456003199420716,0.0,0.0,0.6340271976236889,0.0006446925598349692
C0085632,Apathy,,0.15,0.0,0.9098556241585812,0.0036483981300240655,0.1,0.05,0.9222552342045401,0.008384535435871561,0.0,0.0,0.7394433870293858,0.0011431042448776507,0.1,0.1,0.5437212757067917,0.026731653835045173,0.05,0.0,0.7087089735852561,0.002094122743752548,0.0,0.0,0.6582934868390511,0.0007339872094038138
C0426891,Broad thumbs,,0.15,0.03333333333333333,0.8705103194141236,0.0063914646144622245,0.05,0.0,0.8045698050691316,0.0025020182411917818,0.0,0.0,0.6278848684719834,0.0005470766621043738,0.1,0.05,0.5435993311347485,0.01352984185135973,0.1,0.1,0.5611469800424234,0.10057811006274847,0.03333333333333333,0.03333333333333333,0.6993466177404122,0.005200891596431482
C1836926,Fundus with peripheral 'bony spicules',,0.0,0.0,0.712361349607834,0.00040985285980760943,0.2,0.2,0.7251473522996241,0.11071529555942994,0.2,0.2,0.5924351417830789,0.1333704597487779,0.0,0.0,0.5425001160254327,0.000416299052581155,0.0,0.0,0.7313895205829117,0.00038008072733835803,0.1,0.0,0.6105954425210005,0.0014613127314550482
C0036920,Sezary Syndrome,cancer,0.2,0.08333333333333333,0.9233186251741756,0.015776365758034074,0.2,0.0,0.8868005883263663,0.0050283901360739045,0.0,0.0,0.7563539247561543,0.0007921588352361685,0.11666666666666665,0.05,0.5851621768075553,0.008721328307396614,0.2,0.2,0.8495154048614337,0.04011747560114011,0.08333333333333333,0.0,0.8636205294937296,0.0027686601619216628
C1704375,Hypophosphatemic Rickets,,0.3,0.3,0.5834083631131944,0.020130608253839995,0.2,0.2,0.7701907458114821,0.050955595415732656,0.2,0.2,0.5944771893999165,0.0750371264154446,0.3,0.3,0.6449459321483269,0.021940479580331514,0.3,0.3,0.6979533113658514,0.094585061435556,0.1,0.0,0.8308442010488699,0.0022957824880130645
C4025819,Abnormality of the hypothalamus-pituitary axis,,0.0,0.0,0.8310071942446043,0.0005677860867327305,0.1,0.1,0.7812230215827338,0.011758927282196277,0.0,0.0,0.6376955210025528,0.0015504666970812394,0.0,0.0,0.4930378278022743,5.569393093524347e-05,0.0,0.0,0.5146542121141796,0.0012803070648062435,0.0,0.0,0.6274216755627757,0.0002869681271574754
C1855038,Hepatocellular necrosis,,0.8,0.15,0.9560666542888969,0.02317308582404181,0.75,0.45,0.9572595618269588,0.061663584601904686,0.65,0.25,0.8957934923876717,0.0412138886604036,0.55,0.4,0.7712019587820275,0.15561267987736152,0.7,0.5,0.902778035647976,0.08524940965680658,0.7,0.25,0.9550246008169327,0.03211655093067721
C1856266,Coronal craniosynostosis,,0.3,0.3,0.8441198997354129,0.07048423793970418,0.1,0.0,0.7813164368936546,0.0027932086150335013,0.0,0.0,0.5895673768741586,0.0010899512048239087,0.3,0.2,0.6448521561528107,0.0363367708614855,0.3,0.3,0.6487652601773198,0.2507757173751745,0.1,0.1,0.6929466648099151,0.006066800935618956
C0403553,Renal dysplasia and retinal aplasia (disorder),,0.4,0.3,0.9257599665846754,0.11388745934374107,0.5,0.4,0.8955074952429574,0.08270241402633212,0.5,0.2,0.8425117185687103,0.02226441771663186,0.5,0.4,0.7463011092031373,0.3190154520716683,0.4,0.1,0.8825915440664593,0.014961519510419257,0.4,0.3,0.9440618183505824,0.08623426816042959
C0262404,Cerebellar degeneration,,0.14,0.06,0.8065037050845879,0.02793623286053575,0.06,0.0,0.7787705643845831,0.0035899226878726757,0.0,0.0,0.6505958428484877,0.0015645344436540224,0.05,0.0,0.5332017523418929,0.0018900033620288406,0.13,0.09,0.4615155893181712,0.034841976841704383,0.02,0.0,0.6677168290068509,0.002043155166175853
