,disease_name,disease_num_significant,disease_top_10,lci_jaccard_sim,lci_num_significant,lci_sp_corr,lci_sp_pval,lci_top_10,random_walk_jaccard_sim,random_walk_num_significant,random_walk_sp_corr,random_walk_sp_pval,random_walk_top_10
C0006413,Burkitt Lymphoma,2,"{'positive regulation of transcription, DNA-templated', 'positive regulation of metanephros development', 'positive regulation of RNA metabolic process', 'positive regulation of nucleic acid-templated transcription', 'positive regulation of programmed cell death', 'protein-DNA complex disassembly', 'positive regulation of RNA biosynthetic process', 'transcription factor binding', 'positive regulation of apoptotic process', 'positive regulation of cell death'}",0.0,24,0.18540495185692138,4.11311888168385e-169,"{'embryonic digit morphogenesis', 'transcription regulatory region DNA binding', 'regulatory region nucleic acid binding', 'folic acid metabolic process', 'folic acid-containing compound metabolic process', 'one-carbon metabolic process', 'alpha-amino acid metabolic process', 'transcription regulatory region sequence-specific DNA binding', 'sequence-specific double-stranded DNA binding', 'proximal promoter sequence-specific DNA binding'}",0.0026954177897574125,370,0.2666261190531488,0.0,"{'regulation of apoptotic signaling pathway', 'BH3 domain binding', 'Bcl-2 family protein complex', 'signal transduction in absence of ligand', 'regulation of programmed cell death', 'regulation of apoptotic process', 'intrinsic apoptotic signaling pathway in response to DNA damage', 'BH domain binding', 'extrinsic apoptotic signaling pathway in absence of ligand', 'regulation of cell death'}"
C0019158,Hepatitis,130,"{'cytoplasmic vesicle lumen', 'extracellular space', 'vesicle lumen', 'organonitrogen compound metabolic process', 'regulation of programmed cell death', 'regulation of apoptotic process', 'response to stimulus', 'nitrogen compound metabolic process', 'secretory granule lumen', 'extracellular region'}",0.15675675675675677,84,0.2285060156101995,3.7660245805584567e-258,"{'cytoplasmic vesicle lumen', 'extracellular space', 'extracellular region part', 'vesicle lumen', 'blood microparticle', 'endoplasmic reticulum lumen', 'secretory granule lumen', 'membrane-enclosed lumen', 'intracellular organelle lumen', 'organelle lumen'}",0.125,140,0.2906629292080873,0.0,"{'multi-organism process', 'defense response', 'regulation of protein metabolic process', 'regulation of humoral immune response', 'regulation of immune response', 'activation of immune response', 'response to stress', 'cellular response to nicotine', 'positive regulation of immune response', 'complement activation, classical pathway'}"
C0003126,Anosmia,57,"{'system development', 'cell motility', 'fibroblast growth factor receptor binding', 'locomotion', 'tissue morphogenesis', 'regulation of developmental growth', 'movement of cell or subcellular component', 'chemorepellent activity', 'lipid modification', 'fibroblast growth factor receptor signaling pathway'}",0.10344827586206896,295,0.4048158453726664,0.0,"{'phosphatidylinositol-4,5-bisphosphate 3-kinase activity', '1-phosphatidylinositol-3-kinase activity', 'phosphatidylinositol phosphorylation', 'fibroblast growth factor receptor binding', 'phosphatidylinositol bisphosphate kinase activity', 'phosphatidylinositol-3-phosphate biosynthetic process', 'protein tyrosine kinase activity', 'phosphatidylinositol 3-kinase activity', 'fibroblast growth factor receptor signaling pathway', 'phosphatidylinositol kinase activity'}",0.1377245508982036,133,0.39993068865090503,0.0,"{'fibroblast growth factor-activated receptor activity', 'cell surface receptor signaling pathway', 'tachykinin receptor signaling pathway', 'cell migration', 'protein tyrosine kinase activity', 'positive regulation of cellular process', 'signal transduction', 'substance P receptor binding', 'transmembrane receptor protein tyrosine kinase activity', 'neurokinin receptor binding'}"
C0241074,Skin hyperelastic,419,"{'MAPK cascade', 'collagen fibril organization', 'supramolecular fiber organization', 'ion binding', 'signal transduction by protein phosphorylation', 'fibrillar collagen trimer', 'animal organ morphogenesis', 'anatomical structure morphogenesis', 'animal organ development', 'platelet-derived growth factor binding'}",0.31922398589065254,329,0.3678966896098149,0.0,"{'extracellular space', 'developmental process', 'collagen-containing extracellular matrix', 'extracellular matrix structural constituent', 'extracellular matrix', 'growth factor binding', 'extracellular structure organization', 'platelet-derived growth factor binding', 'extracellular region', 'extracellular matrix organization'}",0.2945990180032733,372,0.3482630099170631,0.0,"{'cytoplasmic vesicle lumen', 'platelet degranulation', 'vesicle lumen', 'response to wounding', 'collagen binding', 'identical protein binding', 'secretory granule lumen', 'multicellular organismal process', 'cytoplasmic vesicle part', 'platelet alpha granule lumen'}"
C0020459,Hyperinsulinism,339,"{'visual perception', 'sensory perception of light stimulus', 'nervous system process', 'detection of external stimulus', 'phototransduction', 'sensory perception', 'ciliary part', 'system process', 'multicellular organismal process', 'detection of light stimulus'}",0.12463343108504399,428,0.2814899870250428,0.0,"{'mRNA metabolic process', 'RNA splicing, via transesterification reactions', 'RNA splicing, via transesterification reactions with bulged adenosine as nucleophile', 'RNA splicing', 'mRNA splicing, via spliceosome', 'catalytic step 2 spliceosome', 'spliceosomal complex', 'cyclic-nucleotide phosphodiesterase activity', 'mRNA processing', ""3',5'-cyclic-nucleotide phosphodiesterase activity""}",0.1406761177753544,707,0.2926546573001735,0.0,"{'regulation of protein modification process', 'regulation of cellular protein metabolic process', 'regulation of phosphorus metabolic process', 'regulation of biological quality', 'regulation of phosphate metabolic process', 'regulation of transferase activity', 'regulation of protein kinase activity', 'regulation of phosphorylation', 'regulation of kinase activity', 'regulation of protein phosphorylation'}"
C0020541,"Hypertension, Portal",186,"{'positive regulation of BMP signaling pathway', 'positive regulation of pathway-restricted SMAD protein phosphorylation', 'cytokine receptor binding', 'response to organic substance', 'positive regulation of multicellular organismal process', 'positive regulation of phosphate metabolic process', 'interleukin-12 receptor binding', 'positive regulation of cell population proliferation', 'positive regulation of phosphorus metabolic process', 'mesenchyme morphogenesis'}",0.15526315789473685,253,0.37359924042285453,0.0,"{'regulation of multicellular organismal process', 'positive regulation of amine transport', 'inhibin binding', 'inhibin-betaglycan-ActRII complex', 'positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway', 'regulation of systemic arterial blood pressure by vasopressin', 'sperm ejaculation', 'positive regulation of secretion by cell', 'transforming growth factor beta receptor binding', 'vasopressin receptor activity'}",0.3054054054054054,297,0.38190476016484576,0.0,"{'cell surface receptor signaling pathway', 'activin-activated receptor activity', 'cytokine binding', 'transforming growth factor beta receptor activity, type II', 'molecular transducer activity', 'signaling receptor activity', 'activin receptor complex', 'transmembrane receptor protein serine/threonine kinase activity', 'activin receptor signaling pathway', 'transforming growth factor beta-activated receptor activity'}"
C0014474,Ependymoma,157,"{'somatic diversification of immune receptors via somatic mutation', 'somatic diversification of immune receptors', 'mismatch repair complex binding', 'mismatch repair complex', 'mismatch repair', 'single base insertion or deletion binding', 'guanine/thymine mispair binding', 'mismatched DNA binding', 'somatic diversification of immunoglobulins', 'somatic hypermutation of immunoglobulin genes'}",0.13020833333333334,277,0.27826295390218614,0.0,"{'cellular response to stress', 'telomere organization', 'DNA-dependent ATPase activity', 'telomere maintenance', 'DNA metabolic process', 'DNA replication', 'response to stress', 'chromosome organization', 'cellular response to DNA damage stimulus', 'DNA repair'}",0.0,4,0.07918906306098816,6.665121637675679e-32,"{'phosphorylation', 'protein modification process', 'organonitrogen compound metabolic process', 'macromolecule modification', 'cellular protein modification process', 'protein metabolic process', 'positive regulation of peptidyl-serine phosphorylation', 'metabolic process', 'cellular protein metabolic process', 'protein phosphorylation'}"
C4020838,Relative short stature,42,"{'collagen fibril organization', 'endoplasmic reticulum lumen', 'collagen-containing extracellular matrix', 'extracellular matrix structural constituent conferring tensile strength', 'extracellular matrix structural constituent', 'collagen trimer', 'extracellular matrix', 'extracellular structure organization', 'skeletal system development', 'extracellular matrix organization'}",0.3188405797101449,49,0.2949825518042516,0.0,"{'extracellular space', 'collagen-containing extracellular matrix', 'structural molecule activity', 'extracellular matrix structural constituent', 'extracellular structure organization', 'collagen trimer', 'extracellular matrix', 'extracellular matrix structural constituent conferring tensile strength', 'platelet-derived growth factor binding', 'extracellular matrix organization'}",0.0,0,0.07962534965060951,3.0822038923139763e-32,"{'cellular response to stress', 'regulation of ER-associated ubiquitin-dependent protein catabolic process', 'positive regulation of ER-associated ubiquitin-dependent protein catabolic process', 'cellular response to stimulus', 'interspecies interaction between organisms', 'positive regulation of biological process', 'proteasomal protein catabolic process', 'positive regulation of proteolysis', 'proteasome-mediated ubiquitin-dependent protein catabolic process', 'positive regulation of ERAD pathway'}"
C0221170,Muscular stiffness,1,"{'ion transmembrane transport', 'ion transport', 'integral component of plasma membrane', 'monocarboxylic acid metabolic process', 'plasma membrane part', 'transmembrane transport', 'anion transmembrane transport', 'intrinsic component of plasma membrane', 'membrane', 'muscle contraction'}",0.0,82,0.27655009296542443,0.0,"{'GABA-A receptor complex', 'ligand-gated anion channel activity', 'GABA receptor activity', 'benzodiazepine receptor activity', 'chloride channel complex', 'GABA receptor complex', 'GABA-A receptor activity', 'gamma-aminobutyric acid signaling pathway', 'GABA-gated chloride ion channel activity', 'synaptic transmission, GABAergic'}",0.0,0,-0.00119903285639084,0.8589539707941775,"{'plasma membrane protein complex', 'smoothened signaling pathway', 'cellular component assembly', 'cell projection assembly', 'ion channel inhibitor activity', 'channel inhibitor activity', 'membrane docking', 'plasma membrane bounded cell projection assembly', 'protein N-terminus binding', 'organelle localization by membrane tethering'}"
C3275417,Ragged-red fibers,92,"{'inner mitochondrial membrane protein complex', 'generation of precursor metabolites and energy', 'mitochondrial protein complex', 'respiratory electron transport chain', 'mitochondrial membrane part', 'electron transport chain', 'respiratory chain complex', 'mitochondrial inner membrane', 'mitochondrial part', 'organelle inner membrane'}",0.34710743801652894,71,0.34888649858049336,0.0,"{'mitochondrial respiratory chain complex I', 'NADH dehydrogenase (ubiquinone) activity', 'NADH dehydrogenase (quinone) activity', 'NADH dehydrogenase complex', 'mitochondrial respiratory chain complex I assembly', 'respiratory chain complex', 'NADH dehydrogenase activity', 'NADH dehydrogenase complex assembly', 'oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor', 'respiratory chain complex I'}",0.3137254901960784,109,0.39488045990563997,0.0,"{'inner mitochondrial membrane protein complex', 'oxidoreductase complex', 'generation of precursor metabolites and energy', 'mitochondrial protein complex', 'respiratory electron transport chain', 'electron transport chain', 'mitochondrial membrane part', 'respiratory chain complex', 'mitochondrial part', 'mitochondrion'}"
C0349204,Nonorganic psychosis,327,"{'cell part', 'regulation of biological process', 'cellular process', 'regulation of cellular process', 'biological_process', 'molecular_function', 'cellular_component', 'multicellular organismal process', 'intracellular part', 'biological regulation'}",0.2132752992383025,788,0.3629079179155551,0.0,"{'chemical homeostasis', 'cellular calcium ion homeostasis', 'store-operated calcium channel activity', 'calcium ion homeostasis', 'regulation of biological quality', 'homeostatic process', 'signal transduction', 'plasma membrane part', 'positive regulation of multicellular organismal process', 'positive regulation of molecular function'}",0.20833333333333334,572,0.3309635792106807,0.0,"{'negative regulation of metabolic process', 'regulation of biological process', 'positive regulation of metabolic process', 'positive regulation of cellular process', 'positive regulation of biological process', 'protein domain specific binding', 'negative regulation of biological process', 'negative regulation of cellular process', 'regulation of cellular process', 'biological regulation'}"
C0007787,Transient Ischemic Attack,159,"{'regulation of cellular protein metabolic process', 'positive regulation of protein metabolic process', 'regulation of protein metabolic process', 'regulation of programmed cell death', 'regulation of neuron death', 'regulation of apoptotic process', 'signal transduction', 'positive regulation of cellular protein metabolic process', 'positive regulation of cell death', 'regulation of cell death'}",0.030612244897959183,43,0.09018549377001489,6.601680869924426e-41,"{'oxidoreductase activity', 'flavin adenine dinucleotide binding', 'oxidoreductase activity, acting on the CH-CH group of donors', 'antioxidant activity', 'fatty acid beta-oxidation', 'lipid oxidation', 'fatty acid oxidation', 'oxidation-reduction process', 'fatty acid catabolic process', 'acyl-CoA dehydrogenase activity'}",0.0,2,0.29194442813415944,0.0,"{'dendrite', 'response to abiotic stimulus', 'neuron projection', 'neuron part', 'cell projection part', 'positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway', 'response to nutrient levels', 'plasma membrane bounded cell projection part', 'regulation of system process', 'response to extracellular stimulus'}"
C0018916,Hemangioma,97,"{'regulation of cell population proliferation', 'tricarboxylic acid cycle', 'positive regulation of epithelial cell proliferation', 'catalytic activity', 'citrate metabolic process', 'regulation of epithelial cell proliferation', 'tricarboxylic acid metabolic process', 'glyoxylate cycle', 'cytoplasmic part', 'mitochondrion'}",0.007518796992481203,37,0.14519104993530874,8.7613741656437e-104,"{'vitamin binding', 'carbohydrate derivative catabolic process', 'lysosomal lumen', 'glycosaminoglycan catabolic process', 'membrane-enclosed lumen', 'intracellular organelle lumen', 'aminoglycan catabolic process', 'organelle lumen', 'organonitrogen compound catabolic process', 'vacuolar lumen'}",0.1037037037037037,52,0.2451746948817152,4.396244611575044e-298,"{'succinate-CoA ligase (ADP-forming) activity', 'tricarboxylic acid cycle', 'succinate metabolic process', 'succinyl-CoA metabolic process', 'citrate metabolic process', 'tricarboxylic acid metabolic process', 'drug metabolic process', 'mitochondrial matrix', 'antibiotic metabolic process', 'succinate-CoA ligase activity'}"
C1837485,Flat acetabular roof,0,"{'sulfur compound metabolic process', 'extracellular region part', 'small molecule metabolic process', 'extracellular matrix structural constituent', 'carbohydrate derivative metabolic process', 'endochondral ossification', 'replacement ossification', 'extracellular structure organization', 'ossification', 'extracellular matrix organization'}",0.0,42,0.15264705639472503,1.2251317453228992e-114,"{'growth plate cartilage chondrocyte morphogenesis', 'growth plate cartilage morphogenesis', 'collagen-containing extracellular matrix', 'extracellular matrix structural constituent', 'chondrocyte morphogenesis', 'extracellular structure organization', 'extracellular matrix', 'extracellular matrix structural constituent conferring tensile strength', 'chondrocyte morphogenesis involved in endochondral bone morphogenesis', 'extracellular matrix organization'}",0.0,0,-0.00024530426522094694,0.9709985273715415,"{'phospholipase C-activating G protein-coupled receptor signaling pathway', 'positive regulation of integrin activation by cell surface receptor linked signal transduction', 'cytosolic calcium signaling involved in initiation of cell movement in glial-mediated radial cell migration', 'methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione', 'negative regulation of transport', 'visual system development', 'lymphatic endothelial cell migration', 'negative regulation of secretion', 'methylglyoxal catabolic process', 'methylglyoxal catabolic process to lactate'}"
C0007222,Cardiovascular Diseases,935,"{'regulation of tube diameter', 'extracellular space', 'regulation of tube size', 'regulation of blood vessel diameter', 'system process', 'circulatory system process', 'multicellular organismal process', 'developmental process', 'extracellular region', 'regulation of blood vessel size'}",0.11928429423459244,191,0.27455165474605464,0.0,"{'reverse cholesterol transport', 'extracellular space', 'small molecule metabolic process', 'triglyceride-rich lipoprotein particle remodeling', 'lipid metabolic process', 'steroid metabolic process', 'high-density lipoprotein particle remodeling', 'extracellular structure organization', 'extracellular region', 'endoplasmic reticulum part'}",0.2733812949640288,835,0.39874882962722263,0.0,"{'regulation of multicellular organismal process', 'cell surface receptor signaling pathway', 'regulation of cell population proliferation', 'signaling receptor binding', 'positive regulation of metabolic process', 'regulation of biological quality', 'regulation of developmental process', 'positive regulation of biological process', 'positive regulation of response to stimulus', 'regulation of response to stimulus'}"
C2673410,Small midface,817,"{'cellular process', 'animal organ morphogenesis', 'anatomical structure development', 'biological_process', 'molecular_function', 'cell development', 'cellular developmental process', 'anatomical structure morphogenesis', 'multicellular organismal process', 'developmental process'}",0.2946708463949843,1661,0.41698444839511944,0.0,"{'cellular response to stimulus', 'response to endogenous stimulus', 'response to organic substance', 'cellular response to endogenous stimulus', 'cellular response to organic substance', 'negative regulation of cellular process', 'enzyme linked receptor protein signaling pathway', 'animal organ development', 'developmental process', 'negative regulation of biological process'}",0.26446795270690726,1215,0.3514744975709536,0.0,"{'regulation of nitrogen compound metabolic process', 'regulation of primary metabolic process', 'positive regulation of metabolic process', 'positive regulation of macromolecule metabolic process', 'negative regulation of biological process', 'regulation of cellular metabolic process', 'negative regulation of cellular process', 'regulation of metabolic process', 'regulation of cellular process', 'regulation of macromolecule metabolic process'}"
C0234182,Gowers sign,58,"{'muscle system process', 'neuromuscular junction', 'cytoskeletal protein binding', 'contractile fiber part', 'sarcolemma', 'muscle cell cellular homeostasis', 'structural constituent of muscle', 'Z disc', 'cytoskeleton organization', 'muscle contraction'}",0.17647058823529413,42,0.2594300082506534,0.0,"{'integral component of membrane', 'plasma membrane protein complex', 'dystrophin-associated glycoprotein complex', 'intrinsic component of membrane', 'sarcolemma', 'glycoprotein complex', 'membrane part', 'neurotransmitter binding', 'ammonium ion binding', 'sarcoglycan complex'}",0.1643835616438356,27,0.22147839296420685,3.0042797897890838e-242,"{'membrane protein complex', 'plasma membrane protein complex', 'sarcolemma', 'muscle structure development', 'glycoprotein complex', 'protein-containing complex', 'muscle organ development', 'dystrophin-associated glycoprotein complex', 'sarcoglycan complex', 'plasma membrane'}"
C0023493,Adult T-Cell Lymphoma/Leukemia,706,"{'cell surface receptor signaling pathway', 'regulation of cell activation', 'regulation of lymphocyte activation', 'regulation of T cell activation', 'regulation of leukocyte cell-cell adhesion', 'regulation of leukocyte activation', 'positive regulation of biological process', 'lymphocyte activation', 'positive regulation of cell activation', 'positive regulation of leukocyte activation'}",0.2838479809976247,375,0.3887464610019395,0.0,"{'cell surface receptor signaling pathway', 'cell proliferation involved in kidney development', 'cytokine receptor binding', 'cell chemotaxis', 'signal transduction', 'cytokine-mediated signaling pathway', 'taxis', 'CCR chemokine receptor binding', 'chemotaxis', 'chemokine receptor binding'}",0.2128463476070529,257,0.42996312778860774,0.0,"{'response to other organism', 'immune system process', 'cell surface receptor signaling pathway', 'multi-organism process', 'response to virus', 'regulation of immune response', 'signal transduction', 'cytokine-mediated signaling pathway', 'regulation of immune system process', 'type I interferon signaling pathway'}"
