,data,data,loo_ptest[DP],loo_ptest[DP],loo_ptest[DP],lci_dpp[DP],lci_dpp[DP],lci_dpp[DP],lci_dpp[DP],lci_dpp[0.3][DP],lci_dpp[0.3][DP],lci_dpp[0.3][DP],lci_dpp[0.3][DP],ci_dpp[DP],ci_dpp[DP],ci_dpp[DP],ci_dpp[DP],rw_dpp[DP],rw_dpp[DP],rw_dpp[DP],rw_dpp[DP],dns_dpp[DP],dns_dpp[DP],dns_dpp[DP],dns_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],subgraph_metrics[DP],subgraph_metrics[DP],subgraph_metrics[DP]
C1837084,Short metacarpal,,44,0.0,0.33,0.105,0.065,0.7749151675730953,0.008088622279067346,0.13,0.0,0.8220064612095012,0.005106839004457905,0.07,0.0,0.758218519035,0.0025313950998000004,0.115,0.045,0.8430218937386696,0.02568002976689917,0.04,0.0,0.6942167526611815,0.002973602498100848,0.04,0.02,0.5132394366197184,0.0015400181959156422,0.025,0.025,0.7212906149769907,0.0042421447417365105,0.9750875827170103,0.8706489806819193,0.03382663847780127
C0079924,Oligohydramnios,reproductive system ,30,0.08,0.36,0.16666666666666666,0.13333333333333333,0.8187702265372169,0.0269308948990696,0.2,0.06666666666666668,0.7935460894071011,0.011509601797901316,0.166666666667,0.0333333333333,0.794699679472,0.006295316550939999,0.06666666666666668,0.06666666666666668,0.8078955110636254,0.010845633375578657,0.13333333333333333,0.0,0.663086666356978,0.0038847620328096993,0.03333333333333333,0.03333333333333333,0.5099324878834329,0.03346802910667286,0.06666666666666668,0.06666666666666668,0.6785138043697061,0.004428256213556353,0.9744816586921852,0.9561606729158498,0.0367816091954023
C0003578,Apnea,,44,0.01,0.07,0.06999999999999999,0.05,0.7712011341979268,0.006745501689374775,0.11,0.045,0.7825101101659462,0.007308708623327495,0.13,0.045,0.7331364756190001,0.006650163075260001,0.06999999999999999,0.0,0.7683626179519362,0.002686137657478756,0.0,0.0,0.6054575140612652,0.0006878756841942584,0.045,0.02,0.5281097475944778,0.010776701097785009,0.05,0.0,0.6272746711290846,0.0014011580018564414,0.9775802087359876,0.807932866694116,0.0306553911205074
C0332606,Elfin facies,,10,0.37,0.62,0.2,0.2,0.7316958277254375,0.041856379692387785,0.2,0.0,0.7078177936603703,0.005373096424558088,0.2,0.1,0.678147769991,0.035345790956900006,0.0,0.0,0.7378846243096486,0.0007495919682113413,0.0,0.0,0.4870329976330812,4.640801930573604e-05,0.0,0.0,0.5426532695966955,0.0004691176447255898,0.0,0.0,0.6070821924165777,0.0004074858134544017,0.9913169319826338,0.966227500463908,0.06666666666666668
C1866730,Rhizomelia,,26,0.04,0.45,0.03333333333333333,0.03333333333333333,0.6576362763766971,0.0039219434721867695,0.03333333333333333,0.03333333333333333,0.7367369529205949,0.0057226777321258745,0.0333333333333,0.0,0.6767498026100001,0.00157003109217,0.08333333333333333,0.0,0.7299413249113679,0.002020708119819227,0.03333333333333333,0.0,0.5658952982521326,0.0013226965593348206,0.03333333333333333,0.0,0.5263821157091326,0.0006216574647606321,0.08333333333333333,0.0,0.5841283111173038,0.0019172439471235327,0.979420018709074,0.95098698282711,0.033846153846153845
C0240310,Hypoplasia of the maxilla,,65,0.0,0.35,0.11190476190476192,0.06428571428571428,0.8493112608899878,0.011645301734584758,0.17619047619047618,0.047619047619047616,0.8446252426151922,0.014225092000508338,0.097619047619,0.05,0.821008149212,0.013043678012000001,0.07857142857142857,0.0,0.8218842227008057,0.003422580192933395,0.0,0.0,0.6883448326287522,0.0010405909728308858,0.03333333333333333,0.0,0.5180582697437807,0.0010290318804200614,0.030952380952380957,0.016666666666666666,0.7158169595774286,0.003951901622745549,0.9741350352704063,0.5576183953293524,0.03701923076923077
C0241210,Speech Delay,,112,0.01,0.12,0.027272727272727268,0.01818181818181818,0.7718759405667777,0.006462608856503885,0.044696969696969686,0.01818181818181818,0.7700949928287303,0.014358820836472712,0.0363636363636,0.0181818181818,0.73140150632,0.00387629504563,0.008333333333333333,0.0,0.7355710874188375,0.002072320553494677,0.0,0.0,0.617956912326812,0.0009312169699699055,0.01818181818181818,0.0,0.511225757222493,0.001013057600144356,0.0,0.0,0.6009956053894036,0.0012497425008801126,0.9745423687719724,0.5255937549509585,0.01689189189189189
C0027720,Nephrosis,urinary system ,15,0.0,0.11,0.15,0.15,0.960166186983567,0.01840766392649267,0.25,0.15,0.9488023396156344,0.016985297896105034,0.2,0.0,0.899990715811,0.004196212932179999,0.5,0.15,0.9553384086900008,0.030807619414323258,0.0,0.0,0.9290374617027204,0.0036796976965347405,0.05,0.0,0.5678616191625662,0.0014591446869842972,0.2,0.2,0.8365448890539412,0.020437728520403108,0.9726421886249099,0.897335439705108,0.18095238095238092
C0026636,Mouth Diseases,gastrointestinal system ,12,0.27,0.05,0.0,0.0,0.7359561383151544,0.0005970995458328411,0.0,0.0,0.6218995126479461,0.0003807126685208819,0.2,0.2,0.743967277791,0.022956423763,0.05,0.05,0.7355395683453236,0.00778380908763152,0.1,0.0,0.6802193084242284,0.00172981414295888,0.0,0.0,0.5432374100719424,0.0009769786241497613,0.0,0.0,0.6017730331863541,0.0004608072935766193,0.9826539462272332,0.921983356449376,0.15151515151515152
C4021107,Non-obstructive azoospermia,,22,0.06,0.34,0.3,0.1,0.7099168021051001,0.012140929074903198,0.2,0.15,0.6687040476743287,0.01054755844142459,0.2,0.1,0.644356473957,0.009245213060629998,0.2333333333333333,0.08333333333333333,0.6787802801640741,0.017586940698620834,0.15,0.0,0.6565002708768671,0.003071787669816112,0.0,0.0,0.4930345948456002,0.00010214849525282959,0.05,0.0,0.6935693831746769,0.0016246337773641705,0.9732540861812778,0.9732836787564768,0.03896103896103896
C0026633,Mouth Abnormalities,,14,0.01,0.02,0.15,0.05,0.7545478809822216,0.006821177327897885,0.15,0.1,0.7749350136935431,0.00628856217205018,0.2,0.0,0.710250429374,0.0043095240478,0.1,0.0,0.7247040802116697,0.0028886786226389968,0.05,0.0,0.5627756115675625,0.001081339480424867,0.0,0.0,0.4930371814510514,6.498156648788272e-05,0.2,0.0,0.8932507078865524,0.0031197988172327745,0.9681620839363242,0.9620913640719838,0.12087912087912088
C2219717,menstrual periods stopped for over 6 months,,13,0.03,0.3,0.0,0.0,0.7713725399183067,0.0006216333024894853,0.0,0.0,0.7936710917192722,0.0005765802769073763,0.0,0.0,0.702084106944,0.0005058679573319999,0.1,0.0,0.7993292796138136,0.0030380985169941557,0.0,0.0,0.5606154845896769,0.0006580060406944807,0.0,0.0,0.4930375046416636,6.0337533191168777e-05,0.0,0.0,0.6772233568510955,0.0008754270100343341,0.9860724233983288,0.9809236947791165,0.0641025641025641
C1837404,"High, narrow palate",,32,0.02,0.29,0.14166666666666666,0.0,0.8292651955090979,0.003948805462516726,0.24166666666666664,0.025,0.8395814943863726,0.00786719599598403,0.09166666666670001,0.0,0.775440572977,0.00262561967221,0.05833333333333333,0.025,0.7885129694154085,0.003758353709496122,0.03333333333333333,0.0,0.6120071622144793,0.0012178049323574947,0.05833333333333333,0.0,0.5224541231126596,0.001549193843920654,0.0,0.0,0.7198486256291134,0.0007954439147407089,0.9772007599746676,0.8924322956213617,0.03629032258064517
C1837402,Flat occiput,,25,0.0,0.03,0.45,0.3833333333333333,0.891665118583194,0.19006957199712535,0.5166666666666666,0.4833333333333333,0.8969982661465105,0.3803561093018419,0.516666666667,0.416666666667,0.86344510496,0.330165074264,0.4166666666666666,0.3333333333333333,0.874292525852994,0.307541460114307,0.3333333333333333,0.13333333333333333,0.7707950182673851,0.024586149914916162,0.31666666666666665,0.31666666666666665,0.653570267508824,0.28063449832345594,0.4166666666666666,0.3833333333333333,0.7877298903956902,0.09666791632923964,0.9427662957074722,0.9588640326250776,0.12
C0746940,nonverbal,,43,0.05,0.71,0.0,0.0,0.7318639025750675,0.0007549055457191883,0.0,0.0,0.7190206377242726,0.0007940956388284481,0.0,0.0,0.699166356791,0.000712334409527,0.0,0.0,0.7184449660686065,0.0006714473262750409,0.0,0.0,0.5080356976852283,0.0002899652802102481,0.025,0.0,0.5055899646741656,0.0004477074392600164,0.0,0.0,0.5944192153946267,0.0009716578215210793,0.9871924502864846,0.871614557540141,0.021040974529346626
C0043352,Xerostomia,,40,0.0,0.71,0.025,0.0,0.7767887019565924,0.0018630016837151203,0.0,0.0,0.7441819259190408,0.0009958555940871546,0.1,0.025,0.741517753404,0.0040558457479899996,0.075,0.025,0.7838168657340707,0.004352796123132759,0.0,0.0,0.7285437096249476,0.00086574038837249,0.025,0.025,0.5431461170237486,0.013140539358314579,0.025,0.0,0.5861911511827858,0.0012766385348925355,0.9772681144712808,0.6361264940452008,0.07179487179487179
C0206698,Cholangiocarcinoma,cancer,25,0.01,0.0,0.1,0.0,0.8307782215617067,0.004070073740476503,0.18333333333333326,0.0,0.8346004396557062,0.00688888843872858,0.18333333333299998,0.08333333333330001,0.81726113072,0.021092340040700003,0.08333333333333333,0.05,0.834838844510496,0.006692839731331136,0.0,0.0,0.7124996129791318,0.0005072714483041086,0.0,0.0,0.5594649823518483,0.0009189021476432649,0.0,0.0,0.6165606229487894,0.0007511051368779026,0.9833571088920591,0.7312939575508051,0.11666666666666667
C0231835,Tachypnea,,19,0.3,0.17,0.15,0.0,0.5966303742223048,0.001893660699221969,0.0,0.0,0.6298994799888571,0.000821053519212934,0.0,0.0,0.608110084502,0.000670054752462,0.2,0.0,0.6593300213576005,0.00469962190020135,0.15,0.0,0.5611477388801189,0.0030069139679791915,0.0,0.0,0.4930355650478225,8.820820068435815e-05,0.0,0.0,0.5815442473767296,0.0004092309155580517,0.9784688995215312,0.9763904903091198,0.05263157894736842
C1389016,ATRIOVENTRICULAR CANAL DEFECT,,17,0.53,0.91,0.1,0.0,0.7105559424326834,0.003115563941992535,0.1,0.0,0.6979259517177345,0.0024633154191822603,0.1,0.0,0.637252785515,0.0019913352816800004,0.0,0.0,0.6677808727948004,0.0005013587090122171,0.0,0.0,0.5329816620241411,0.0003185151255799809,0.0,0.0,0.4930362116991643,7.891625322300809e-05,0.0,0.0,0.5951764159702878,0.0003219287796282121,0.989106753812636,0.939382727468936,0.036764705882352935
C1864897,Cognitive delay,,607,0.0,0.13,0.016475409836065574,0.006612021857923497,0.7837644104490263,0.010776189798330994,0.03461748633879781,0.014808743169398909,0.797395782307602,0.014079828364797785,0.0164754098361,0.00491803278689,0.7421394420749999,0.00976317620822,0.016530054644808743,0.006584699453551913,0.7747994574644288,0.011491922520617192,0.0,0.0,0.6930655176910938,0.0050869846523203715,0.009890710382513662,0.004972677595628415,0.5159031567484382,0.0052677359122469455,0.02144808743169399,0.004918032786885246,0.6576369145897727,0.007200246695397708,0.9104455033658574,0.7122094235017855,0.009656319832971764
C0221210,Congenital malrotation of intestine,,16,0.39,0.08,0.45,0.2,0.8154577317673274,0.018039762962476537,0.45,0.35,0.8570098881203286,0.020482883016456614,0.05,0.0,0.85586671928,0.0032089931230700006,0.2,0.1,0.8821479968432293,0.011158113658316659,0.1,0.0,0.6591546353465485,0.0035561134863054647,0.05,0.0,0.5182117821828142,0.0007275237842532387,0.1,0.0,0.6569216842300729,0.002449882379656216,0.9837104072398191,0.8976089385474859,0.075
C0598608,Hyperhomocysteinemia,inherited metabolic disorder,11,0.13,0.29,0.0,0.0,0.8899494105634457,0.002193181918365547,0.0,0.0,0.8978650329527522,0.0025047621918502768,0.15,0.0,0.85567390699,0.00242211305832,0.05,0.0,0.807864568829481,0.002292164691991485,0.0,0.0,0.5660540239487608,0.001031708578245492,0.1,0.0,0.5433862433862433,0.0013621992160333142,0.0,0.0,0.6425717070453912,0.00026346269620947875,0.9674134419551936,0.9772585019820572,0.14545454545454545
C4020855,Respiratory function loss,,121,0.0,0.07,0.15833333333333333,0.06666666666666668,0.8503868253022709,0.017241328075657158,0.19166666666666665,0.05833333333333333,0.8545158127233842,0.025662932653645405,0.05833333333330001,0.008333333333329999,0.7864198466750001,0.00562270861365,0.15,0.06666666666666668,0.786577576183846,0.016582960868866202,0.05,0.0,0.7031112141807935,0.0036358213189844986,0.008333333333333333,0.008333333333333333,0.5014115662126019,0.0011275317906101385,0.008333333333333333,0.0,0.7342440646217003,0.0027148988074437897,0.9565793834935368,0.6815525189331577,0.018044077134986226
C0221356,Brachycephaly,,87,0.0,0.46,0.04444444444444444,0.03333333333333333,0.7849112456657868,0.01646269669172056,0.04583333333333333,0.0,0.7823132406976143,0.003239044950929128,0.05833333333330001,0.023611111111099998,0.704134580552,0.00372645974527,0.02361111111111111,0.0,0.7359504217771567,0.0021661183263035704,0.0,0.0,0.6108168051027273,0.0011306196091693606,0.02361111111111111,0.0,0.5222767556797598,0.0011812137682996097,0.0,0.0,0.6231316306991668,0.0011036502215255497,0.974185357596276,0.7188283190256405,0.016305800588078054
C4020856,Terminal tremor,,20,0.54,0.54,0.0,0.0,0.6930004178854994,0.0012012426508784993,0.05,0.0,0.6774527557227098,0.0015710647087131262,0.0,0.0,0.6660584111060001,0.0008712663521510001,0.0,0.0,0.6840715977155594,0.0006347303438801548,0.0,0.0,0.5468530900311093,0.00036558591534152586,0.0,0.0,0.4930352416771139,9.28548214866057e-05,0.0,0.0,0.5331220689975391,0.0008643508352620787,0.98851308232291,0.8894667985577076,0.04736842105263158
C1837397,"Global developmental delay, severe",,45,0.0,0.05,0.29500000000000004,0.245,0.8280994328746747,0.10784844540308657,0.245,0.245,0.8324962811454071,0.09727617487043028,0.315,0.22,0.810304365006,0.162447708591,0.25,0.185,0.8494433339531424,0.12212142099605455,0.205,0.05,0.7253353941985867,0.009782987592752668,0.115,0.115,0.5637444217181108,0.09386281621931873,0.06999999999999999,0.045,0.6756317404239495,0.022671432237706544,0.9483938915218536,0.9185945633314054,0.04949494949494949
C0741796,Recurrent bronchitis,,23,0.0,0.05,0.26666666666666666,0.18333333333333326,0.8536492678245254,0.037034295705937664,0.31666666666666665,0.08333333333333333,0.8438515835423053,0.012114386896314656,0.3,0.133333333333,0.852172533358,0.0189963801484,0.2833333333333333,0.08333333333333333,0.8497887062320053,0.014056900185628385,0.13333333333333333,0.0,0.7622047305036996,0.004601903262043067,0.11666666666666665,0.11666666666666665,0.5521404136094858,0.0142342803885257,0.15,0.05,0.7511508931612024,0.027813528951071063,0.968058968058968,0.8495025909607338,0.10276679841897234
C0003486,Aortic Aneurysm,cardiovascular system ,10,0.0,0.0,0.1,0.0,0.8532649556782846,0.0037780394005927204,0.2,0.0,0.899122847728222,0.003860688865871639,0.3,0.1,0.885394718522,0.0211468618422,0.2,0.0,0.8934840116953637,0.003123539916711797,0.0,0.0,0.673481227084977,0.0006778585454232354,0.2,0.0,0.6438228059590662,0.004580806691070474,0.0,0.0,0.8375411890286351,0.0007879333262010866,0.981981981981982,0.9222201935366076,0.26666666666666666
C0027658,"Neoplasms, Germ Cell and Embryonal",cancer,13,0.12,0.0,0.0,0.0,0.7515561177125882,0.0008286366564046159,0.2,0.0,0.7913931953212032,0.005047438453188328,0.25,0.1,0.734066329372,0.00860451126975,0.1,0.0,0.7280843854437429,0.0022509934697018696,0.1,0.0,0.5920673969550686,0.0016600870357493954,0.0,0.0,0.4930375046416636,6.0337533191168777e-05,0.0,0.0,0.6382867619754921,0.0003716478577729613,0.9682539682539684,0.9689193334014928,0.08974358974358974
C4022003,Erectile abnormalities,,16,0.08,0.19,0.2,0.15,0.7071294276031754,0.02358580665297304,0.2,0.1,0.7008924841000882,0.018048874917947256,0.15,0.1,0.63002530059,0.0152386797856,0.1,0.1,0.6127779583120561,0.10111045587419756,0.2,0.15,0.5918504247713662,0.022907609568671,0.1,0.1,0.5437328814818254,0.10006962883193074,0.0,0.0,0.6190961422403788,0.0004459813499806305,0.9700374531835206,0.9616995810891682,0.06666666666666668
C0002171,Alopecia Areata,immune system ,10,0.01,0.09,0.1,0.0,0.7680489163224579,0.0036287414174237314,0.2,0.1,0.7684851719496913,0.007434451900682765,0.3,0.2,0.7318443402789999,0.0206483118636,0.3,0.2,0.7931544994662831,0.03469630054533227,0.3,0.2,0.6461897247876733,0.017032485613514014,0.2,0.1,0.5942776256555437,0.1029783028860328,0.2,0.1,0.6483640413978744,0.006234710017053577,0.9396226415094341,0.9572649572649572,0.17777777777777778
C0002170,Alopecia,integumentary system ,89,0.0,0.12,0.08888888888888888,0.05555555555555556,0.7947463149286793,0.02297345344342924,0.12222222222222225,0.04444444444444444,0.8116717646937042,0.014630186589519091,0.0,0.0,0.773812120883,0.00212082679546,0.06666666666666668,0.01111111111111111,0.7956227485870443,0.004761890769142376,0.02222222222222222,0.0,0.6417988077862659,0.001169539669925158,0.0,0.0,0.4992107438978946,0.0004609716786359875,0.01111111111111111,0.0,0.6927844155642506,0.0015623775134981615,0.9742018703643984,0.5998834524956855,0.020429009193054137
C0521719,Clouding of corneal stroma,,50,0.0,0.13,0.32,0.30000000000000004,0.8167587297159065,0.10553788228168266,0.38,0.26,0.8118319616868928,0.0442359253244621,0.34,0.26,0.8093397498489999,0.06489244306200001,0.2600000000000001,0.12,0.8337434323708559,0.0639619089983594,0.12,0.06000000000000001,0.7545185288510717,0.00800200554453234,0.08,0.08,0.543616961919375,0.08036918557084419,0.02,0.0,0.7498925931092202,0.0019482559386606348,0.9508196721311476,0.8930452717641298,0.04653061224489796
C0428977,Bradycardia,,35,0.0,0.03,0.3083333333333333,0.175,0.7757951166248491,0.05194167071933618,0.3083333333333333,0.20833333333333331,0.8146247638075768,0.05303341254733585,0.20833333333299997,0.141666666667,0.773874988384,0.031330271628,0.06666666666666668,0.06666666666666668,0.8075852615927888,0.00915119379424011,0.09166666666666666,0.0,0.5953166140073722,0.002448852969494045,0.03333333333333333,0.03333333333333333,0.5099262769878883,0.008491284882188227,0.075,0.05,0.7632403277266672,0.01335720740129065,0.9667896678966791,0.9583516149718182,0.03025210084033613
C0009447,Common Variable Immunodeficiency,immune system ,11,0.02,0.0,0.6,0.45,0.9180892044927133,0.07430572649684518,0.3,0.1,0.7468694885361553,0.012289674943829171,0.75,0.1,0.908145363409,0.0228688878063,0.3,0.2,0.9079805996472664,0.017334682541464346,0.2,0.1,0.7601271697762926,0.009727779896359996,0.2,0.2,0.6440313747331291,0.011675249381078851,0.35,0.1,0.9550960735171262,0.010731865146584372,0.9765853658536584,0.8715758468335788,0.21818181818181814
C0017658,Glomerulonephritis,urinary system ,32,0.0,0.05,0.31666666666666665,0.2,0.9571165311653116,0.04305704987387022,0.275,0.225,0.905745644599303,0.05920634033747095,0.29166666666700003,0.166666666667,0.943147115757,0.060555169352799997,0.225,0.06666666666666668,0.9301707317073172,0.012513378228829414,0.0,0.0,0.7187158343011999,0.002510262982008256,0.125,0.06666666666666668,0.5562895857530004,0.020163731696886168,0.25,0.1,0.9392489353464964,0.012569668566076116,0.9622448979591836,0.8834080717488789,0.07459677419354839
C1837249,"Malformations of Cortical Development, Group II",,31,0.0,0.13,0.4333333333333333,0.36666666666666653,0.8665131701198551,0.1981768867552737,0.4333333333333333,0.4,0.8630309470717581,0.31651164951331634,0.433333333333,0.33333333333299997,0.8151868670450001,0.208133064811,0.33333333333333337,0.2333333333333333,0.8099441760351823,0.09791638875198007,0.2666666666666667,0.06666666666666668,0.7284344126482702,0.010886449966195356,0.26666666666666666,0.26666666666666666,0.6282325250085169,0.266773498448044,0.26666666666666666,0.13333333333333333,0.7497108148285794,0.04811828494296521,0.9497623896809232,0.939431676667044,0.07956989247311827
C1969372,Tubulointerstitial fibrosis,,11,0.38,0.2,0.0,0.0,0.7669637055601968,0.0012814080151084947,0.2,0.0,0.7653740833565394,0.005560234608071228,0.0,0.0,0.720495683654,0.00141453420881,0.1,0.0,0.7184048083170891,0.003858007459522072,0.2,0.1,0.5952566601689409,0.006924121666214579,0.0,0.0,0.4930381509328877,5.105075966009834e-05,0.0,0.0,0.6789659333518983,0.0004035561363371756,0.955719557195572,0.9903819730695246,0.10909090909090907
C0948023,Urine phosphorous concentration above normal,,19,0.25,0.26,0.0,0.0,0.6774363914941035,0.0011767894059105828,0.0,0.0,0.6495484724672671,0.0004649897729774842,0.0,0.0,0.539076283778,0.00023640757537999997,0.05,0.0,0.6220006500139289,0.002268356679619364,0.05,0.0,0.5621030272077259,0.0011828753435026702,0.0,0.0,0.4930355650478225,8.820820068435815e-05,0.05,0.0,0.5070642585198254,0.0008305829938755506,0.9745403111739744,0.984935299040752,0.05263157894736842
C0038454,Cerebrovascular accident,nervous system ,56,0.0,0.33,0.17,0.08,0.8149906981070648,0.012720156841588984,0.18666666666666668,0.07666666666666667,0.837012619568082,0.012439113289126892,0.15,0.0766666666667,0.798136598298,0.025749382672900004,0.07666666666666666,0.05666666666666665,0.806805032324078,0.006189985582080906,0.0,0.0,0.6328858347673753,0.0006045710413806281,0.03666666666666667,0.03666666666666667,0.5199646528068461,0.00704860352395566,0.07666666666666666,0.03666666666666667,0.738253259538316,0.00591160215192916,0.9783945487784609,0.7103724093069199,0.042207792207792215
C0035258,Restless Legs Syndrome,nervous system ,5,0.0,0.25,0.0,0.0,0.5944784706755755,0.0003709307242666473,0.0,0.0,0.3196362286562732,5.297935135077273e-05,0.0,0.0,0.5493411284340001,0.00018639411821000002,0.0,0.0,0.6501763177431329,0.000301651037451985,0.0,0.0,0.4970629175946548,4.639725328260567e-05,0.0,0.0,0.4930400890868597,4.639725328260567e-05,0.0,0.0,0.4935319227913882,0.00010523047537206682,0.9754601226993864,1.0,0.2
C0151205,Periorbital edema,,13,0.14,0.02,0.15,0.15,0.8849366412922391,0.013163610523212195,0.15,0.1,0.8368281191979206,0.005418967770911796,0.15,0.1,0.834342508355,0.00894785424991,0.2,0.0,0.8681999628666915,0.005136976700192747,0.2,0.0,0.5867248421834386,0.002867146590950523,0.05,0.0,0.5181755941329372,0.0005991745613493258,0.0,0.0,0.6278105272929817,0.0005918179007023952,0.9839449541284404,0.9542371915427138,0.08974358974358974
