,disease_name,disease_num_significant,disease_top_10,lci_jaccard_sim,lci_num_significant,lci_top_10
C0007194,Hypertrophic Cardiomyopathy,430,"{'intracellular organelle part', 'mitochondrial respiratory chain complex I assembly', 'mitochondrial membrane part', 'mitochondrial respiratory chain complex assembly', 'mitochondrion', 'generation of precursor metabolites and energy', 'NADH dehydrogenase complex assembly', 'respiratory chain complex', 'mitochondrial part', 'cytoplasmic part'}",0.1991869918699187,160,"{'mitochondrial inner membrane', 'mitochondrial respiratory chain complex I assembly', 'mitochondrial membrane part', 'inner mitochondrial membrane protein complex', 'mitochondrial respiratory chain complex assembly', 'respiratory chain complex', 'NADH dehydrogenase complex assembly', 'respiratory electron transport chain', 'oxidoreductase complex', 'electron transport chain'}"
C0917798,Cerebral Ischemia,56,"{'NADH dehydrogenase (quinone) activity', 'mitochondrial inner membrane', 'aerobic respiration', 'cellular respiration', 'energy derivation by oxidation of organic compounds', 'respiratory chain complex', 'respiratory electron transport chain', 'NADH dehydrogenase (ubiquinone) activity', 'NADH dehydrogenase activity', 'electron transport chain'}",0.4146341463414634,60,"{'NADH dehydrogenase complex', 'respiratory chain complex I', 'mitochondrial respiratory chain complex I', 'NADH dehydrogenase activity', 'NADH dehydrogenase (quinone) activity', 'mitochondrial electron transport, NADH to ubiquinone', 'mitochondrial respiratory chain complex I assembly', 'respiratory chain complex', 'NADH dehydrogenase (ubiquinone) activity', 'oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor'}"
C1298695,Hypoplasia of optic disc,50,"{'regulation of rhodopsin mediated signaling pathway', 'detection of external stimulus', 'detection of abiotic stimulus', 'detection of visible light', 'detection of light stimulus', 'response to light stimulus', 'visual perception', 'sensory perception of light stimulus', 'response to radiation', 'rhodopsin mediated signaling pathway'}",0.0,0,"{'calcium ion transmembrane transport', 'chromosome attachment to the nuclear envelope', 'detection of endogenous stimulus', 'detection of external stimulus', 'detection of abiotic stimulus', 'positive regulation of rhodopsin gene expression', 'meiotic attachment of telomere to nuclear envelope', 'regulation of rhodopsin gene expression', 'detection of nodal flow', 'transmembrane transport'}"
C0349639,Juvenile Myelomonocytic Leukemia,127,"{'animal organ development', 'positive regulation of biological process', 'Ras protein signal transduction', 'positive regulation of response to stimulus', 'regulation of signal transduction', 'homeostasis of number of cells', 'regulation of signaling', 'regulation of response to stimulus', 'regulation of cell communication', 'cell differentiation'}",0.176,314,"{'transmembrane receptor protein tyrosine kinase signaling pathway', 'regulation of MAPK cascade', 'regulation of intracellular signal transduction', 'phosphorylation', 'regulation of immune response', 'intracellular signal transduction', 'signal transduction', 'positive regulation of intracellular signal transduction', 'Ras guanyl-nucleotide exchange factor activity', 'MAPK cascade'}"
C0338715,Drug-induced depressive state,67,"{'multi-organism process', 'positive regulation of secretion by cell', 'regulation of secretion', 'response to external biotic stimulus', 'response to external stimulus', 'positive regulation of transport', 'positive regulation of secretion', 'response to biotic stimulus', 'response to virus', 'regulation of secretion by cell'}",0.0,0,"{'regulation of neurotransmitter levels', 'oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen', 'neurotransmitter metabolic process', 'phenol-containing compound metabolic process', 'serotonin metabolic process', 'regulation of blood pressure', 'regulation of appetite', 'neuropeptide signaling pathway', 'primary amino compound metabolic process', 'regulation of response to food'}"
C0234182,Gowers sign,58,"{'contractile fiber part', 'Z disc', 'structural constituent of muscle', 'muscle cell cellular homeostasis', 'sarcolemma', 'cytoskeleton organization', 'neuromuscular junction', 'cytoskeletal protein binding', 'muscle contraction', 'muscle system process'}",0.17647058823529413,42,"{'dystrophin-associated glycoprotein complex', 'glycoprotein complex', 'intrinsic component of membrane', 'neurotransmitter binding', 'integral component of membrane', 'ammonium ion binding', 'membrane part', 'sarcolemma', 'plasma membrane protein complex', 'sarcoglycan complex'}"
C1857202,Frequent vomiting,60,"{'organelle inner membrane', 'mitochondrial membrane', 'mitochondrial inner membrane', 'aerobic respiration', 'respiratory chain complex', 'respiratory electron transport chain', 'mitochondrial part', 'cytochrome complex', 'organelle membrane', 'electron transport chain'}",0.4050632911392405,51,"{'NADH dehydrogenase complex', 'respiratory chain complex I', 'mitochondrial respiratory chain complex I', 'NADH dehydrogenase activity', 'NADH dehydrogenase (quinone) activity', 'mitochondrial respiratory chain complex I assembly', 'respiratory chain complex', 'NADH dehydrogenase complex assembly', 'NADH dehydrogenase (ubiquinone) activity', 'oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor'}"
C0079773,"Lymphoma, T-Cell, Cutaneous",476,"{'positive regulation of biological process', 'regulation of cell activation', 'regulation of cell population proliferation', 'regulation of programmed cell death', 'regulation of cell death', 'regulation of apoptotic process', 'positive regulation of cellular process', 'regulation of lymphocyte activation', 'regulation of T cell activation', 'regulation of leukocyte activation'}",0.22948717948717948,483,"{'cell surface receptor signaling pathway', 'positive regulation of response to stimulus', 'positive regulation of cell population proliferation', 'positive regulation of signaling', 'phosphorylation', 'positive regulation of signal transduction', 'cytokine-mediated signaling pathway', 'regulation of peptidyl-tyrosine phosphorylation', 'positive regulation of cell communication', 'positive regulation of intracellular signal transduction'}"
C0003126,Anosmia,57,"{'fibroblast growth factor receptor binding', 'regulation of developmental growth', 'lipid modification', 'chemorepellent activity', 'system development', 'cell motility', 'fibroblast growth factor receptor signaling pathway', 'locomotion', 'tissue morphogenesis', 'movement of cell or subcellular component'}",0.10344827586206896,295,"{'phosphatidylinositol-3-phosphate biosynthetic process', 'fibroblast growth factor receptor binding', 'protein tyrosine kinase activity', '1-phosphatidylinositol-3-kinase activity', 'phosphatidylinositol 3-kinase activity', 'phosphatidylinositol phosphorylation', 'phosphatidylinositol bisphosphate kinase activity', 'phosphatidylinositol kinase activity', 'phosphatidylinositol-4,5-bisphosphate 3-kinase activity', 'fibroblast growth factor receptor signaling pathway'}"
C0850715,Abnormality of blood and blood-forming tissues,0,"{'epoxygenase P450 pathway', 'heme binding', 'cellular lipid metabolic process', 'tetrapyrrole binding', 'oxoacid metabolic process', 'exogenous drug catabolic process', 'drug catabolic process', 'arachidonic acid epoxygenase activity', 'organic acid metabolic process', 'arachidonic acid monooxygenase activity'}",0.0,8,"{'alpha-sialidase activity', 'neutrophil degranulation', 'vesicle lumen', 'secretory granule lumen', 'lysosomal lumen', 'hydrolase activity, hydrolyzing O-glycosyl compounds', 'neutrophil activation involved in immune response', 'hydrolase activity, acting on glycosyl bonds', 'exo-alpha-sialidase activity', 'cytoplasmic vesicle lumen'}"
C4023397,Abnormal hair quantity,44,"{'thyroid gland development', 'protein phosphorylation', 'neurotrophin TRK receptor signaling pathway', 'signal transduction by protein phosphorylation', 'neurotrophin signaling pathway', 'phosphorylation', 'intracellular signal transduction', 'regulation of Ras protein signal transduction', 'signal transduction', 'MAPK cascade'}",0.06557377049180328,21,"{'GTP binding', 'Ras protein signal transduction', 'GTPase activity', 'purine ribonucleoside binding', 'GTPase binding', 'purine nucleoside binding', 'intracellular signal transduction', 'ribonucleoside binding', 'signal transduction', 'small GTPase mediated signal transduction'}"
C0263401,Cutis marmorata,525,"{'tube morphogenesis', 'developmental process', 'positive regulation of epithelial to mesenchymal transition', 'embryonic morphogenesis', 'ventricular trabecula myocardium morphogenesis', 'multicellular organismal process', 'anatomical structure development', 'trabecula morphogenesis', 'positive regulation of cardiac epithelial to mesenchymal transition', 'heart trabecula morphogenesis'}",0.16145833333333334,144,"{'enzyme linked receptor protein signaling pathway', 'cell surface receptor signaling pathway', 'positive regulation of Notch signaling pathway', 'extracellular matrix', 'growth factor binding', 'transmembrane receptor protein serine/threonine kinase signaling pathway', 'extracellular matrix structural constituent', 'BMP signaling pathway', 'transforming growth factor beta binding', 'collagen-containing extracellular matrix'}"
C1866134,Wide anterior fontanel,357,"{'peroxisomal transport', 'protein targeting to peroxisome', 'peroxisomal membrane', 'peroxisomal membrane transport', 'peroxisomal part', 'protein import into peroxisome matrix', 'peroxisome organization', 'protein localization to peroxisome', 'establishment of protein localization to peroxisome', 'microbody membrane'}",0.07848101265822785,69,"{'extracellular matrix structural constituent conferring tensile strength', 'platelet-derived growth factor binding', 'extracellular matrix', 'peroxisomal part', 'growth factor binding', 'microbody part', 'extracellular matrix structural constituent', 'peroxisome', 'basement membrane', 'collagen-containing extracellular matrix'}"
C0431371,Absence of septum pellucidum,0,"{'membranous septum morphogenesis', 'fibroblast growth factor binding', 'bone development', 'protein tyrosine kinase activity', 'transmembrane receptor protein tyrosine kinase activity', 'developmental process', 'synapse', 'cardiac septum morphogenesis', 'fibroblast growth factor-activated receptor activity', 'transmembrane receptor protein kinase activity'}",0.0,102,"{'extracellular region', 'glycosaminoglycan binding', 'fibroblast growth factor binding', 'transmembrane receptor protein tyrosine kinase activity', 'heparin binding', 'growth factor binding', 'sulfur compound binding', 'fibroblast growth factor receptor signaling pathway', 'fibroblast growth factor-activated receptor activity', 'transmembrane receptor protein kinase activity'}"
