,disease_name,disease_num_significant,disease_top_10,lci_jaccard_sim,lci_num_significant,lci_top_10
C0151818,Opisthotonus,34,"{'organonitrogen compound biosynthetic process', 'purine-containing compound metabolic process', 'ribonucleotide metabolic process', 'small molecule metabolic process', 'glycosyl compound metabolic process', 'ribose phosphate metabolic process', 'purine nucleotide metabolic process', 'organic substance biosynthetic process', 'guanosine-containing compound metabolic process', 'purine ribonucleotide metabolic process'}",0.0,1,"{'negative regulation of neuron death', 'negative regulation of neuron apoptotic process', 'regulation of neuron death', 'carboxylic acid biosynthetic process', 'regulation of ATP metabolic process', 'organic acid biosynthetic process', 'regulation of neuron apoptotic process', 'CNTFR-CLCF1 complex', 'uroporphyrinogen III metabolic process', 'uroporphyrinogen III biosynthetic process'}"
C0021400,Influenza,136,"{'defense response', 'type I interferon signaling pathway', 'defense response to other organism', 'response to external biotic stimulus', 'response to external stimulus', 'response to other organism', 'immune effector process', 'response to biotic stimulus', 'defense response to virus', 'response to virus'}",0.0944558521560575,397,"{'response to nitrogen compound', 'positive regulation of nitrogen compound metabolic process', 'response to organonitrogen compound', 'cellular response to organonitrogen compound', 'regulation of protein metabolic process', 'response to organic substance', 'positive regulation of protein metabolic process', 'response to endogenous stimulus', 'response to stress', 'cellular response to nitrogen compound'}"
C0005937,Bone Cysts,58,"{'positive regulation of cellular process', 'positive regulation of multicellular organismal process', 'regulation of lipid metabolic process', 'regulation of cytokine-mediated signaling pathway', 'positive regulation of biological process', 'response to hyperoxia', 'regulation of multicellular organismal process', 'cellular developmental process', 'response to increased oxygen levels', 'cell differentiation'}",0.0,53,"{'carnitine metabolic process', 'carboxylic acid metabolic process', 'carnitine O-acyltransferase activity', 'carnitine O-palmitoyltransferase activity', 'amino-acid betaine metabolic process', 'oxoacid metabolic process', 'O-acyltransferase activity', 'O-palmitoyltransferase activity', 'organic acid metabolic process', 'beta selection'}"
C0006413,Burkitt Lymphoma,2,"{'protein-DNA complex disassembly', 'positive regulation of cell death', 'positive regulation of programmed cell death', 'transcription factor binding', 'positive regulation of apoptotic process', 'positive regulation of RNA biosynthetic process', 'positive regulation of nucleic acid-templated transcription', 'positive regulation of metanephros development', 'positive regulation of RNA metabolic process', 'positive regulation of transcription, DNA-templated'}",0.0026954177897574125,370,"{'signal transduction in absence of ligand', 'BH3 domain binding', 'regulation of cell death', 'regulation of programmed cell death', 'BH domain binding', 'intrinsic apoptotic signaling pathway in response to DNA damage', 'regulation of apoptotic process', 'Bcl-2 family protein complex', 'extrinsic apoptotic signaling pathway in absence of ligand', 'regulation of apoptotic signaling pathway'}"
C2673410,Small midface,817,"{'anatomical structure morphogenesis', 'animal organ morphogenesis', 'cellular developmental process', 'cell development', 'multicellular organismal process', 'developmental process', 'cellular process', 'anatomical structure development', 'molecular_function', 'biological_process'}",0.26446795270690726,1215,"{'regulation of macromolecule metabolic process', 'negative regulation of biological process', 'regulation of cellular metabolic process', 'positive regulation of metabolic process', 'positive regulation of macromolecule metabolic process', 'regulation of metabolic process', 'regulation of cellular process', 'regulation of primary metabolic process', 'negative regulation of cellular process', 'regulation of nitrogen compound metabolic process'}"
C0007222,Cardiovascular Diseases,935,"{'system process', 'regulation of blood vessel diameter', 'regulation of tube size', 'extracellular space', 'regulation of blood vessel size', 'multicellular organismal process', 'developmental process', 'regulation of tube diameter', 'extracellular region', 'circulatory system process'}",0.2733812949640288,835,"{'positive regulation of biological process', 'positive regulation of metabolic process', 'regulation of response to stimulus', 'regulation of multicellular organismal process', 'positive regulation of response to stimulus', 'regulation of cell population proliferation', 'regulation of developmental process', 'cell surface receptor signaling pathway', 'regulation of biological quality', 'signaling receptor binding'}"
C0162538,Immunoglobulin A deficiency (disorder),116,"{'immune system process', 'regulation of mononuclear cell proliferation', 'regulation of cell activation', 'regulation of leukocyte activation', 'regulation of immune system process', 'regulation of leukocyte proliferation', 'regulation of immune response', 'positive regulation of immune system process', 'regulation of lymphocyte proliferation', 'regulation of lymphocyte activation'}",0.16966580976863754,339,"{'regulation of cell activation', 'tumor necrosis factor receptor superfamily binding', 'regulation of leukocyte activation', 'regulation of immune system process', 'cytokine-mediated signaling pathway', 'CD40 receptor complex', 'thioesterase binding', 'cell surface receptor signaling pathway', 'tumor necrosis factor receptor binding', 'signaling receptor binding'}"
C0022346,Icterus,292,"{'peroxisomal transport', 'peroxisomal membrane', 'microbody part', 'microbody membrane', 'peroxisomal membrane transport', 'peroxisomal part', 'peroxisome organization', 'protein targeting to peroxisome', 'protein import into peroxisome matrix', 'protein localization to peroxisome'}",0.0688836104513064,608,"{'positive regulation of biological process', 'positive regulation of metabolic process', 'positive regulation of macromolecule metabolic process', 'positive regulation of transcription by RNA polymerase II', 'signal transduction', 'positive regulation of gene expression', 'positive regulation of cellular metabolic process', 'cell surface receptor signaling pathway', 'negative regulation of cellular process', 'regulation of cellular biosynthetic process'}"
C0020541,"Hypertension, Portal",186,"{'positive regulation of multicellular organismal process', 'response to organic substance', 'cytokine receptor binding', 'interleukin-12 receptor binding', 'positive regulation of phosphate metabolic process', 'positive regulation of phosphorus metabolic process', 'positive regulation of cell population proliferation', 'positive regulation of pathway-restricted SMAD protein phosphorylation', 'positive regulation of BMP signaling pathway', 'mesenchyme morphogenesis'}",0.3054054054054054,297,"{'signaling receptor activity', 'cell surface receptor signaling pathway', 'transforming growth factor beta-activated receptor activity', 'transforming growth factor beta receptor activity, type II', 'activin-activated receptor activity', 'transmembrane receptor protein serine/threonine kinase activity', 'activin receptor complex', 'molecular transducer activity', 'activin receptor signaling pathway', 'cytokine binding'}"
C0431371,Absence of septum pellucidum,0,"{'bone development', 'synapse', 'protein tyrosine kinase activity', 'transmembrane receptor protein kinase activity', 'cardiac septum morphogenesis', 'transmembrane receptor protein tyrosine kinase activity', 'membranous septum morphogenesis', 'fibroblast growth factor binding', 'developmental process', 'fibroblast growth factor-activated receptor activity'}",0.0,4,"{'nucleus', 'synapse', 'nuclear part', 'cellular component organization', 'regulation of protein metabolic process', 'regulation of protein kinase B signaling', 'cellular component organization or biogenesis', 'regulation of cellular protein metabolic process', 'nucleoplasm', 'chaperone-mediated autophagy'}"
C0162834,Hyperpigmentation,91,"{'box H/ACA telomerase RNP complex', 'box H/ACA scaRNP complex', 'protein-containing complex', 'box H/ACA snoRNP complex', 'box H/ACA RNP complex', 'box H/ACA snoRNA binding', 'snRNA modification', 'positive regulation of telomerase RNA localization to Cajal body', 'snRNA pseudouridine synthesis', 'rRNA pseudouridine synthesis'}",0.08487084870848709,203,"{'type 3 melanocortin receptor binding', 'positive regulation of cellular process', 'type 1 melanocortin receptor binding', 'biological regulation', 'response to organic substance', 'melanocortin receptor binding', 'response to chemical', 'type 4 melanocortin receptor binding', 'response to stimulus', 'receptor complex'}"
C0231807,Dyspnea on exertion,243,"{'transforming growth factor beta receptor binding', 'response to wounding', 'wound healing', 'positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation', 'negative regulation of cellular response to transforming growth factor beta stimulus', 'regulation of epithelial to mesenchymal transition', 'regulation of epithelial to mesenchymal transition involved in endocardial cushion formation', 'anatomical structure development', 'negative regulation of transforming growth factor beta receptor signaling pathway', 'positive regulation of epithelial to mesenchymal transition'}",0.17590361445783131,245,"{'type II transforming growth factor beta receptor binding', 'transforming growth factor beta binding', 'regulation of cellular response to transforming growth factor beta stimulus', 'collagen-containing extracellular matrix', 'extracellular matrix', 'growth factor binding', 'regulation of cell differentiation', 'response to abiotic stimulus', 'regulation of developmental process', 'regulation of transforming growth factor beta receptor signaling pathway'}"
C1849295,Hypoplastic labia minora,9,"{'establishment of protein localization to endoplasmic reticulum membrane', 'regulation of protein lipidation', 'positive regulation of protein lipidation', 'positive regulation of lipoprotein metabolic process', 'regulation of lipoprotein metabolic process', 'positive regulation of autophagosome assembly', 'positive regulation of vacuole organization', 'endoplasmic reticulum tubular network', 'positive regulation of endoplasmic reticulum tubular network organization', 'regulation of endoplasmic reticulum tubular network organization'}",0.0,13,"{'retromer, cargo-selective complex', 'retromer complex', 'early endosome', 'regulation of cellular protein catabolic process', 'regulation of catabolic process', 'regulation of cellular catabolic process', 'retrograde transport, endosome to Golgi', 'endosomal transport', 'negative regulation of cellular catabolic process', 'tubular endosome'}"
C0011206,Delirium,456,"{'response to oxygen-containing compound', 'positive regulation of multicellular organismal process', 'dopamine metabolic process', 'negative regulation of signal transduction', 'regulation of multicellular organismal process', 'negative regulation of response to stimulus', 'catecholamine metabolic process', 'dopamine binding', 'catecholamine binding', 'signaling receptor binding'}",0.0,14,"{'leukemia inhibitory factor signaling pathway', 'ciliary neurotrophic factor receptor activity', 'leukemia inhibitory factor receptor activity', 'telomere cap complex', 'ciliary neurotrophic factor-mediated signaling pathway', 'oncostatin-M receptor activity', 'ciliary neurotrophic factor receptor binding', 'oncostatin-M-mediated signaling pathway', 'shelterin complex', 'nuclear telomere cap complex'}"
C0917798,Cerebral Ischemia,56,"{'aerobic respiration', 'respiratory chain complex', 'NADH dehydrogenase (ubiquinone) activity', 'respiratory electron transport chain', 'energy derivation by oxidation of organic compounds', 'NADH dehydrogenase activity', 'cellular respiration', 'NADH dehydrogenase (quinone) activity', 'electron transport chain', 'mitochondrial inner membrane'}",0.1958041958041958,115,"{'respiratory chain complex', 'mitochondrial respiratory chain complex III', 'oxidoreductase activity, acting on diphenols and related substances as donors', 'respiratory electron transport chain', 'oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor', 'respiratory chain complex III', 'mitochondrial electron transport, ubiquinol to cytochrome c', 'cytochrome complex', 'ubiquinol-cytochrome-c reductase activity', 'electron transport chain'}"
C0870082,Hyperkeratosis,352,"{'response to UV', 'nucleotide-excision repair, DNA incision', 'damaged DNA binding', 'nucleotide-excision repair, preincision complex assembly', 'global genome nucleotide-excision repair', ""nucleotide-excision repair, DNA incision, 5'-to lesion"", 'nucleotide-excision repair, preincision complex stabilization', 'response to light stimulus', 'UV protection', 'nucleotide-excision repair complex'}",0.12883435582822086,200,"{'positive regulation of nitrogen compound metabolic process', 'enzyme binding', 'positive regulation of metabolic process', 'response to stress', 'cellular response to stimulus', 'positive regulation of cellular metabolic process', 'interleukin-1-mediated signaling pathway', 'regulation of biosynthetic process', 'cell surface receptor signaling pathway', 'positive regulation of NF-kappaB transcription factor activity'}"
C0024809,Marijuana Abuse,819,"{'response to nitrogen compound', 'regulation of cell communication', 'positive regulation of transport', 'regulation of transport', 'regulation of monooxygenase activity', 'response to drug', 'regulation of ion transport', 'positive regulation of ion transport', 'response to organonitrogen compound', 'regulation of nitric-oxide synthase activity'}",0.04293785310734463,104,"{'nuclear ubiquitin ligase complex', 'regulation of sister chromatid segregation', 'regulation of mitotic sister chromatid separation', 'biological regulation', 'regulation of chromosome separation', 'protein K11-linked ubiquitination', 'regulation of mitotic sister chromatid segregation', 'anaphase-promoting complex', 'anaphase-promoting complex-dependent catabolic process', 'regulation of biological process'}"
C0349639,Juvenile Myelomonocytic Leukemia,127,"{'regulation of cell communication', 'positive regulation of biological process', 'homeostasis of number of cells', 'regulation of response to stimulus', 'Ras protein signal transduction', 'regulation of signal transduction', 'animal organ development', 'positive regulation of response to stimulus', 'regulation of signaling', 'cell differentiation'}",0.12091503267973856,559,"{'phosphorylation', 'phosphorus metabolic process', 'intracellular signal transduction', 'positive regulation of cellular protein metabolic process', 'protein kinase binding', 'protein phosphorylation', 'signal transduction', 'regulation of cellular protein metabolic process', 'phosphate-containing compound metabolic process', 'positive regulation of protein modification process'}"
C0752347,Lewy Body Disease,597,"{'negative regulation of neuron death', 'negative regulation of cell death', 'regulation of cell death', 'regulation of programmed cell death', 'regulation of multicellular organismal process', 'negative regulation of neuron apoptotic process', 'regulation of neuron death', 'regulation of apoptotic process', 'negative regulation of apoptotic process', 'negative regulation of programmed cell death'}",0.25483091787439616,442,"{'positive regulation of biological process', 'positive regulation of metabolic process', 'regulation of protein metabolic process', 'signaling receptor binding', 'regulation of cellular protein metabolic process', 'positive regulation of response to stimulus', 'positive regulation of protein metabolic process', 'transmembrane receptor protein tyrosine kinase signaling pathway', 'positive regulation of intracellular signal transduction', 'identical protein binding'}"
C0271215,"Blindness, Legal",250,"{'system process', 'NADH dehydrogenase complex assembly', 'nervous system process', 'mitochondrial respiratory chain complex I assembly', 'detection of light stimulus', 'ciliary part', 'visual perception', 'multicellular organismal process', 'sensory perception of light stimulus', 'sensory perception'}",0.15178571428571427,395,"{'respiratory chain complex', 'NADH dehydrogenase (ubiquinone) activity', 'NADH dehydrogenase complex assembly', 'mitochondrial respiratory chain complex I assembly', 'mitochondrial respiratory chain complex assembly', 'NADH dehydrogenase complex', 'mitochondrial respiratory chain complex I', 'respiratory chain complex I', 'NADH dehydrogenase activity', 'NADH dehydrogenase (quinone) activity'}"
C0333641,Atrophic,33,"{'response to oxygen-containing compound', 'response to lipid', 'positive regulation of metallopeptidase activity', 'response to organic substance', 'skeletal muscle atrophy', 'response to hormone', 'response to chemical', 'response to endogenous stimulus', 'response to electrical stimulus involved in regulation of muscle adaptation', 'response to organic cyclic compound'}",0.0,19,"{'response to interleukin-1', 'regulation of response to external stimulus', 'positive regulation of NIK/NF-kappaB signaling', 'regulation of interleukin-1-mediated signaling pathway', 'telomere cap complex', 'regulation of response to stress', 'regulation of inflammatory response', 'regulation of NIK/NF-kappaB signaling', 'interleukin-1-mediated signaling pathway', 'shelterin complex'}"
C0021361,Female infertility,480,"{'hormone-mediated signaling pathway', 'organic cyclic compound biosynthetic process', 'developmental process involved in reproduction', 'reproductive process', 'positive regulation of metabolic process', 'developmental process', 'ligand-activated transcription factor activity', 'anatomical structure development', 'nuclear receptor activity', 'regulation of biological quality'}",0.02834008097165992,28,"{'hormone-mediated signaling pathway', 'leukemia inhibitory factor signaling pathway', 'leukemia inhibitory factor receptor activity', 'positive regulation of biological process', 'cytokine-mediated signaling pathway', 'oncostatin-M receptor activity', 'adenylate cyclase-activating G protein-coupled receptor signaling pathway', 'signal transduction', 'oncostatin-M-mediated signaling pathway', 'regulation of adenylate cyclase activity'}"
C1854912,Short tubular bones,78,"{'ossification', 'extracellular matrix', 'tissue development', 'animal organ morphogenesis', 'collagen fibril organization', 'extracellular structure organization', 'system development', 'extracellular matrix structural constituent', 'extracellular matrix organization', 'skeletal system development'}",0.0,2,"{'negative regulation of biological process', 'protein transport along microtubule', 'movement of cell or subcellular component', 'microtubule-based protein transport', 'protein binding', 'collagen-activated tyrosine kinase receptor signaling pathway', 'intraciliary transport', 'negative regulation of cellular process', 'medial motor column neuron differentiation', 'identical protein binding'}"
C1843156,"Hearing loss, progressive sensorineural",99,"{'respiratory chain complex', 'respiratory electron transport chain', 'mitochondrial membrane', 'sensory perception of mechanical stimulus', 'organelle inner membrane', 'cytochrome complex', 'sensory perception of sound', 'sensory perception', 'electron transport chain', 'mitochondrial inner membrane'}",0.17791411042944785,93,"{'respiratory chain complex', 'mitochondrial respiratory chain complex III', 'oxidoreductase activity, acting on diphenols and related substances as donors', 'oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor', 'respiratory chain complex III', 'protein-containing complex', 'mitochondrial electron transport, ubiquinol to cytochrome c', 'electron transfer activity', 'cytochrome complex', 'ubiquinol-cytochrome-c reductase activity'}"
C0151514,Atrophic condition of skin,260,"{'nucleotide-excision repair', 'response to UV', 'DNA repair', 'damaged DNA binding', ""nucleotide-excision repair, DNA incision, 5'-to lesion"", 'catalytic activity, acting on DNA', 'organelle organization', 'DNA metabolic process', 'chromosome organization', 'nucleotide-excision repair complex'}",0.3076923076923077,403,"{'nucleotide-excision repair', 'DNA repair', 'nucleobase-containing compound metabolic process', 'protein-containing complex', 'nuclear part', 'nucleoplasm part', 'DNA metabolic process', 'nucleic acid metabolic process', 'nucleoplasm', 'heterocycle metabolic process'}"
C0007787,Transient Ischemic Attack,159,"{'positive regulation of cell death', 'regulation of cell death', 'regulation of programmed cell death', 'regulation of protein metabolic process', 'positive regulation of cellular protein metabolic process', 'regulation of neuron death', 'signal transduction', 'regulation of apoptotic process', 'regulation of cellular protein metabolic process', 'positive regulation of protein metabolic process'}",0.0,2,"{'neuron projection', 'dendrite', 'neuron part', 'response to extracellular stimulus', 'cell projection part', 'regulation of system process', 'response to abiotic stimulus', 'response to nutrient levels', 'positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway', 'plasma membrane bounded cell projection part'}"
C0023493,Adult T-Cell Lymphoma/Leukemia,706,"{'regulation of cell activation', 'regulation of leukocyte cell-cell adhesion', 'positive regulation of biological process', 'regulation of leukocyte activation', 'lymphocyte activation', 'positive regulation of cell activation', 'regulation of T cell activation', 'cell surface receptor signaling pathway', 'positive regulation of leukocyte activation', 'regulation of lymphocyte activation'}",0.2128463476070529,257,"{'immune system process', 'type I interferon signaling pathway', 'multi-organism process', 'regulation of immune system process', 'cytokine-mediated signaling pathway', 'regulation of immune response', 'signal transduction', 'response to other organism', 'cell surface receptor signaling pathway', 'response to virus'}"
C4048273,Chorioretinal atrophy,7,"{'system process', 'nephron tubule development', 'nervous system process', 'LRR domain binding', 'leucine zipper domain binding', 'visual perception', 'multicellular organismal process', 'sensory perception of light stimulus', 'sensory perception', 'renal tubule development'}",0.0,1,"{'photoreceptor outer segment membrane', 'regulation of G protein-coupled receptor signaling pathway', 'detection of visible light', 'photoreceptor cell maintenance', 'regulation of rhodopsin mediated signaling pathway', 'rhodopsin mediated signaling pathway', 'visual perception', 'phototransduction', 'ciliary membrane', 'sensory perception of light stimulus'}"
C0751466,Phonophobia,1,"{'positive regulation of cellular response to transforming growth factor beta stimulus', 'N-terminal protein amino acid acetylation', 'beta-catenin-TCF complex assembly', 'regulation of cellular response to heat', 'N-terminal protein amino acid modification', 'positive regulation of transcription of Notch receptor target', 'regulation of transcription from RNA polymerase II promoter in response to hypoxia', 'N-terminal peptidyl-lysine acetylation', 'positive regulation of transforming growth factor beta receptor signaling pathway', 'protein destabilization'}",0.0,0,"{'cytoplasm', 'negative regulation of biological process', 'positive regulation of protein polymerization', 'multi-organism process', 'positive regulation of cellular process', 'positive regulation of protein kinase B signaling', 'cell projection part', 'identical protein binding', 'negative regulation of cellular process', 'plasma membrane bounded cell projection part'}"
C1276035,Pena-Shokeir syndrome type I,51,"{'synapse', 'synaptic transmission, cholinergic', 'acetylcholine binding', 'synapse part', 'synaptic membrane', 'acetylcholine receptor activity', 'acetylcholine-gated channel complex', 'neuromuscular junction', 'acetylcholine-gated cation-selective channel activity', 'neuromuscular synaptic transmission'}",0.0,0,"{'immune response-regulating cell surface receptor signaling pathway involved in phagocytosis', 'response to hepatocyte growth factor', 'Fc-gamma receptor signaling pathway', 'cytoskeletal protein binding', 'Fc-gamma receptor signaling pathway involved in phagocytosis', 'neuromuscular junction', 'transmembrane receptor protein tyrosine kinase signaling pathway', 'Fc receptor signaling pathway', 'Fc receptor mediated stimulatory signaling pathway', 'ephrin receptor binding'}"
C0025521,Inborn Errors of Metabolism,16,"{'water-soluble vitamin metabolic process', 'small molecule biosynthetic process', 'carboxylic acid metabolic process', 'vitamin metabolic process', 'small molecule metabolic process', 'platelet activating factor metabolic process', 'oxoacid metabolic process', 'catalytic activity', 'organic acid metabolic process', 'drug metabolic process'}",0.0,0,"{'protein C-terminus binding', 'transport', 'carbon tetrachloride metabolic process', 'positive regulation of hydrogen sulfide biosynthetic process', 'positive regulation of catalytic activity', 'drug metabolic process', 'response to stress', 'drug catabolic process', 'establishment of localization', 'basement membrane'}"
C1857202,Frequent vomiting,60,"{'aerobic respiration', 'respiratory chain complex', 'respiratory electron transport chain', 'mitochondrial membrane', 'organelle inner membrane', 'mitochondrial part', 'organelle membrane', 'cytochrome complex', 'electron transport chain', 'mitochondrial inner membrane'}",0.24752475247524752,66,"{'respiratory chain complex', 'mitochondrial respiratory chain complex III', 'oxidoreductase activity, acting on diphenols and related substances as donors', 'oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor', 'respiratory chain complex III', 'mitochondrial electron transport, ubiquinol to cytochrome c', 'electron transfer activity', 'cytochrome complex', 'ubiquinol-cytochrome-c reductase activity', 'electron transport chain'}"
C4023397,Abnormal hair quantity,44,"{'phosphorylation', 'intracellular signal transduction', 'thyroid gland development', 'protein phosphorylation', 'signal transduction', 'neurotrophin signaling pathway', 'regulation of Ras protein signal transduction', 'neurotrophin TRK receptor signaling pathway', 'MAPK cascade', 'signal transduction by protein phosphorylation'}",0.10126582278481013,43,"{'regulation of macromolecule metabolic process', 'cytoplasm', 'phosphorylation', 'endocytosis', 'perinuclear region of cytoplasm', 'regulation of cellular process', 'protein phosphorylation', 'signal transduction', 'developmental process', 'regulation of biological process'}"
C0000786,Spontaneous abortion,639,"{'collagen-containing extracellular matrix', 'extracellular matrix', 'extracellular space', 'cellular process', 'extracellular structure organization', 'extracellular region', 'extracellular matrix structural constituent', 'extracellular matrix organization', 'extracellular region part', 'signaling receptor binding'}",0.3480392156862745,1011,"{'regulation of multicellular organismal process', 'response to organic substance', 'response to chemical', 'positive regulation of response to stimulus', 'response to stimulus', 'extracellular structure organization', 'extracellular region', 'extracellular matrix organization', 'extracellular region part', 'signaling receptor binding'}"
C0014591,Epistaxis,337,"{'blood coagulation', 'platelet aggregation', 'regulation of body fluid levels', 'multicellular organismal process', 'response to stimulus', 'homotypic cell-cell adhesion', 'hemostasis', 'regulation of biological quality', 'protein activation cascade', 'coagulation'}",0.2496570644718793,574,"{'phosphorylation', 'negative regulation of biological process', 'positive regulation of cellular process', 'positive regulation of biological process', 'positive regulation of cell communication', 'regulation of biological quality', 'positive regulation of response to stimulus', 'response to endogenous stimulus', 'cell surface receptor signaling pathway', 'negative regulation of cellular process'}"
