Disease ID,Disease Name,Associated Gene IDs,splits
C4020875,Mental and motor retardation,"10020,10083,10084,10087,10102,10108,10128,10134,10166,10195,1020,1021,10225,10297,103,10300,10381,10459,10472,10479,10483,10518,10522,10564,10577,10585,10664,10667,10682,10717,10733,10743,10771,10806,10815,10847,10978,11005,11023,11041,11043,1106,11113,11128,11133,11151,11152,11154,11222,11253,11277,11285,1130,11340,1139,1174,1193,1281,1282,1284,1289,1302,1312,132,1340,1349,1352,1355,1373,1399,1482,1487,1499,158,16,1605,1644,1650,1663,1717,1719,1727,1736,1737,1738,1741,1763,1789,1798,18,1806,1855,1892,191,1910,1911,1917,1947,2018,2033,2067,2068,207,2072,2073,2132,2138,2146,2175,2176,2177,2178,2187,2188,2189,2218,2260,2261,2263,2271,22796,22827,22868,22897,22930,22931,22934,22995,23040,23090,23111,23126,2313,2314,23141,2316,23203,23247,23259,23261,23314,2332,23322,23325,23334,23384,23394,23417,23431,23443,23474,23483,23522,23556,23592,23742,2464,2517,2554,2563,2566,2571,25782,2582,25821,25915,2593,25939,25942,25970,25974,25977,26128,26146,26235,2626,2627,26275,26276,26277,2628,2629,2643,2645,26503,2671,2683,2697,27031,27077,27089,271,2710,27125,27130,27229,27245,27247,27249,27315,2736,27445,2760,2775,2812,286,2895,28952,28960,2898,2904,29072,29078,29089,2911,29123,2972,29920,29925,29926,29929,29954,29968,3028,3030,3032,3070,3110,3141,3149,3190,3265,3295,3329,3340,34,3418,3425,3481,35,351,36,3630,3643,3651,3653,3703,3708,3712,3735,3745,3756,3758,3766,3767,3785,3796,3800,383,3835,3845,39,3920,3930,3954,3981,3988,4000,4036,4056,4099,412,4125,415,4204,421,4212,4256,4281,4329,435,4358,440,443,445,4508,4524,4548,4552,4594,4598,4644,4647,4668,4692,4694,4695,4704,4705,4709,4715,4719,4720,4722,4723,4724,4726,4728,4729,473,4763,478,4864,4867,4914,4920,4921,4952,4967,4983,4990,5009,501,5015,5048,50506,5053,5073,5075,5080,50814,5091,50937,5095,5096,51,51010,51025,5105,51091,51095,51103,51109,5111,51119,51124,5116,51185,5119,51204,51259,51317,51360,5144,5147,51520,51524,5160,51601,51604,51651,51660,5172,51741,51750,51807,5184,5189,5190,5192,5193,5194,5195,5238,5290,5296,5325,5340,5354,5373,53834,5422,5428,5449,54551,54585,546,547,54704,54805,54806,54808,54820,54862,54888,549,54903,5495,54968,55084,55120,55135,5518,55180,55209,55215,55275,5528,55280,5538,55505,5551,55526,55572,55651,55670,55690,55703,5573,5594,5604,5605,5624,5625,5626,5631,5660,5723,5727,5728,58,5805,5813,582,5824,5828,583,5830,5831,5832,585,5859,5860,5885,5888,5889,5894,5917,5979,60,613,6165,617,6234,6239,6309,6323,6324,6326,6334,6335,6341,6389,6390,6391,6392,6469,6491,6492,6496,6497,650,6509,6513,6514,6519,652,6528,6531,6535,6557,6566,6571,6576,6597,6598,6605,6609,6616,6638,6657,6658,6663,6664,6697,6712,673,6748,675,6792,6812,6821,6833,6834,686,6873,6899,699,701,7012,7015,7025,7038,7080,7167,7173,7201,7248,7249,7253,7280,7283,7290,7337,7353,7355,7372,7403,7436,7443,7468,7469,7471,7474,7516,7518,7531,7546,760,7681,776,7840,7841,7849,790,7915,7994,8022,8050,8085,8086,8091,8195,8239,8241,8243,8260,8289,8398,8504,8514,8573,8604,867,8792,8799,8802,8803,8818,8820,8831,8869,8905,8924,894,8942,8985,9126,9150,9179,9184,9197,9215,9255,9289,9342,9343,9361,9382,9409,9440,9451,95,9526,9533,9581,9632,9640,9657,9662,9702,9719,9731,9759,9775,9786,9841,9895,9897,990,9915,9968,9990,9997",none
C0024667,Animal Mammary Neoplasms,"1019,1040,10409,10653,10769,111,11151,11186,112802,1266,1289,1312,140738,1447,1448,1468,1622,1674,1848,1901,1915,1956,1984,2023,2052,2064,2099,2100,214,2167,2180,2202,2335,23569,26012,2625,2628,2678,2771,2937,301,302,3021,3039,307,3178,324,3265,3399,3400,347733,3572,358,3638,3827,3852,3925,3963,4023,406892,406902,406903,406937,406988,4072,4191,4254,4256,4282,4512,4692,5037,5045,50486,5154,51599,5223,5241,5245,5295,5315,5465,5617,5618,5685,5720,5725,5731,5764,5901,5921,5924,5925,5947,595,5950,5954,60,6122,6128,6208,6277,6279,6319,6414,6427,644076,6446,6558,6623,6634,6662,672,6774,6776,7001,7018,7069,7086,7091,71,7170,7227,7329,7351,7430,7498,7534,81,832,8573,8673,8825,8848,9019,902,93974,949,9540,9615,9902,998,999",1
C1836550,Loss of developmental milestones,"10265,10479,1106,1200,1203,1593,1643,175,1759,1967,2055,2068,2071,2072,2073,22854,2290,23230,23474,2348,23636,2581,25915,25942,26137,26275,26580,2670,29078,3028,3064,4204,443,4512,4513,4514,4535,4538,4540,4541,4558,4564,4567,4572,4574,4575,4578,4668,4694,4709,4715,4719,4720,4722,4723,4724,4726,4729,4854,51,51103,51816,5189,5190,5191,5192,5193,5194,5195,5264,538,54209,5428,55315,55572,55670,5660,5824,5828,5830,6334,6389,6392,6515,6529,6792,6812,7284,7305,7507,7508,8398,8504,8799,8831,8869,8890,8891,8892,8893,9131,9409",none
C0018800,Cardiomegaly,"10060,1028,10539,10616,10984,1193,1374,1375,1376,147,1489,150,152,1543,1545,156,1571,1756,183,1906,196,207,2200,2247,2274,2301,23409,23523,2517,2548,26,2621,26229,2626,2629,26503,2932,3043,3066,3074,3077,3091,3162,3270,3357,3479,3481,3553,3606,3709,3728,3764,3784,3920,3930,3976,4015,406991,4088,4502,4607,4629,4638,4668,4669,4758,4846,4878,4879,488,4881,51025,51422,51548,5191,5264,5294,5337,5338,5443,5465,5467,5563,5578,5579,5592,5696,59,5972,6236,6464,6517,6584,6648,6714,6774,7042,7043,7046,7048,7124,7139,7220,7276,7351,7547,8076,84676,857,859,894,93649,9469,9495,9927",2
C0002514,"Amino Acid Metabolism, Inborn Errors","191,2593,2729,383,4143,4329,440275,5625,5723,728294,7508,79048,9056",9
C0043352,Xerostomia,"10133,10891,1131,1235,1490,1610,1639,2043,2066,2255,2261,2263,23025,23435,2521,25978,283,29110,29978,3123,3178,3663,3930,4744,5216,54209,5444,5445,5446,55612,5630,567,6311,6335,6647,7415,857,8626,8878,9217,9782,9896",3
C0013182,Drug Allergy,"10,10631,10800,114548,1244,134,135,1559,1636,2205,2206,2207,2944,2950,3002,3106,3123,3176,3303,3305,356,3565,3586,3596,4056,4295,57105,5733,5742,6356,6369,6863,6916,7124,8797",4
C0018824,Heart valve disease,"11035,1277,1278,2121,2209,2316,2588,2720,29108,2990,3357,3423,3425,3553,3606,3689,3717,3934,3954,4046,411,4851,51626,5777,632,6347,6693,6696,7076,729,7468,7469,80781,836,9450,9719",9
C0332606,Elfin facies,"1591,2006,26608,2969,3643,3984,5982,7461,9031,9569",3
C1842170,Centrally nucleated skeletal muscle fibers,"1785,22954,274,3181,4625,58,6261,7169,7170,7273",4
C0917798,Cerebral Ischemia,"1493,2006,26191,26608,2969,3115,351,3717,3984,4512,4513,4514,4535,4538,4540,4541,4558,4564,4567,4572,4574,4575,4578,4854,5657,5982,6338,6340,7461,875,9031,9569",3
C3550658,Maternal oligohydramnios,"10087,10516,1131,1636,183,185,23322,26281,27031,27077,27130,29925,3039,3040,3977,5076,51057,51259,51360,5314,54361,5447,54903,54968,5972,5979,6888,701,8516,9640,9871,9928",none
C1854882,Absent speech,"10479,10585,10978,11043,11152,11160,1193,158,1605,1759,2290,2563,25839,26005,26040,27089,2775,2799,2904,29920,29925,3800,4204,473,51010,5119,5277,55650,5631,5813,6497,6567,6595,6812,6925,7337,8450,8514,8573,8869,9197,9526,9839",none
C0017639,Gliosis,"10128,10342,10667,1352,1355,1436,2074,2108,2109,2110,2247,2670,27242,2896,2918,3064,3295,3672,3673,3676,3678,3688,3690,3691,3777,4001,4137,4287,4337,4338,4695,4704,4705,4722,4724,4728,5076,5274,54209,5428,551,55572,5594,5595,5621,5663,617,627,6389,6834,6908,7143,7305,8398,9096,9179",6
C0020295,Hydronephrosis,"1028,10491,10682,1131,1376,1717,1855,1958,2065,2187,2239,2260,2263,2294,2316,23522,23556,26040,2719,3239,3655,3691,4683,4920,50814,51715,5189,5190,5192,5193,5194,5195,5339,538,546,54880,55112,55636,55670,5648,5743,5824,5828,5830,5889,6469,6662,673,6899,6913,7466,7474,7498,7547,8195,8241,8260,8425,8504,8626,8799,9096,9409,9487,9536,9723,9860,9897,9915",2
C2674432,Decreased bone mineral density Z score,"10312,10371,1186,1277,1278,1848,2253,2260,23767,26012,2778,29887,3730,4322,54209,54463,547,54756,55636,5604,5728,6335,6663,6870,7305,760,8481,8600,8820,8822,9394",6
C4280598,Flattening of head,"1778,1807,1947,2077,2218,2261,2263,26137,3265,3845,4893,51360,5518,55650,6938,7291,7545,7994,8924,9968",none
C1832160,Poor temperature regulation,"10312,1186,1908,2668,29887,429,5979,627,8600,8929",0
C0432040,"Simple syndactyly of toes, first web space","10020,10087,10682,10907,1663,1717,2260,2263,23529,25836,3239,3516,4089,54880,6299,650,658,6660,6913,8200,8626,9241,9990",5
C0338451,Frontotemporal dementia,"25978,2896,29110,29978,3181,4137,54209,5663,7415,8878",3
C0007114,Malignant neoplasm of skin,"10654,11200,1277,1493,1540,4000,4193,4854,4913,4952,5155,5159,6023,7133,7157,940",5
C1859717,Depressed nasal tip,"2132,22858,4593,4613,51317,5727,5913,7050,7403,8085,8626",0
C3714796,Isolated somatotropin deficiency,"10108,1028,10908,2317,23742,25942,2688,2692,2736,2737,2778,3481,3653,3953,4692,5144,5308,54551,55315,55699,5573,6638,6658,6777,695,7681,7840,8022,8626,8820,8924,9897,9915",8
C0152459,Linear atrophy,"1281,2200,2778,368,4088,50940,5167,5566,5573,6452,7046,7048,8450,8622,9049",2
C1836509,Hypotonic seizures,"1106,1759,2554,2562,2566,5602,6323,6324,6335,6529,9570",2
C0376628,Chromosome Breakage,"10459,10654,1663,1789,2072,2175,2176,2177,2178,2187,2188,2189,29089,3014,3070,3981,4609,4683,472,5422,55120,55215,5888,5889,641,672,675,6948,7516,7518,847,9841",none
C4280482,Flat back of the head,"158,1594,2077,23592,3636,3832,4125,5189,5190,5192,5193,5194,5195,54968,55670,5727,5824,5828,5830,7337,7421,8504,8799,8813,9409,9640",none
C0001916,Albinism,"11234,1910,3257,4157,4286,4948,51151,7299,7306,778,8546",none
C1866134,Wide anterior fontanel,"10484,10491,1277,1278,1301,1302,1387,1855,2033,2108,2109,2110,2261,2263,2316,23545,3265,3981,4036,4920,5189,5190,5192,5193,5194,5195,5447,54888,55670,5648,5824,5828,5830,6497,6662,6888,7252,7474,8504,8642,8799,9409,9509,9968",8
C1857130,Hypoplastic mandible condyle,"10060,10082,10084,1020,10225,10262,10269,10290,10293,10436,10472,1062,1063,10733,10743,10752,10815,10907,10982,1134,1144,1146,1277,1278,1280,1281,1297,1298,1299,1300,1301,1302,1305,1387,1487,1513,1717,1723,1763,1789,1798,1836,1855,1896,1906,1909,2006,2033,2065,2067,2068,207,2073,2074,2132,2146,2200,2248,2260,2263,22858,22930,22931,22995,2314,23141,2316,2317,23314,23322,23384,23483,23522,23556,25778,25782,25836,25885,26123,26227,2626,26276,2629,26608,2690,2697,27077,27245,2733,286,29123,2969,29968,30008,3039,3040,3070,3265,3295,3339,3425,3479,3481,3483,3664,3763,3845,3930,3954,3977,3981,3984,4000,4038,4040,4204,4313,440,4487,4593,4613,4621,4626,4654,4683,4853,4854,4893,4920,4921,4990,4998,5000,5034,5080,50814,5083,51057,51067,51082,51114,5116,51185,51259,51317,5159,51715,5184,5189,5190,5191,5192,5193,5194,5195,5277,5290,5295,5297,5314,538,53834,5396,54101,5424,545,546,54888,54903,54928,55112,55209,55624,55640,55670,5604,5728,5745,5781,5818,5824,5828,5830,5885,5894,5913,5915,5922,5925,5932,5982,6016,6125,6223,6234,627,6309,6473,6497,652,6628,6654,6655,6662,673,6748,6885,6899,6905,6913,6949,699,701,7020,7039,7046,7048,7136,7140,7169,7227,7314,7317,7341,7461,7468,7469,7473,7474,7476,7480,7490,7518,8216,8241,8242,8243,8313,8398,8425,8443,8504,8573,860,8626,8642,871,8799,8813,8815,8818,9031,9126,9150,9184,9244,9321,9343,9401,9409,9427,9496,9509,9533,9569,9640,9702,9791,9841,9871,9896,9897,990,9935,9939,9968",none
C1849039,Metaphyseal widening,"10060,10269,1302,1497,2588,2720,3339,3977,4000,4041,411,4148,4313,4318,4322,51119,5130,5307,538,6023,6497,8838,90",2
C0456909,Blind Vision,"10002,1001,10084,10210,10312,10461,10585,10594,1201,1258,1259,1261,1280,1406,167691,1678,215,2200,2218,23020,23090,23418,23426,23568,24,24148,25794,2581,25915,26121,26160,2706,2760,2778,28982,29078,2979,29954,3000,3073,3074,3420,3614,3913,4041,4117,443,4508,4693,4694,4709,4715,4719,4720,4722,4723,4724,4726,4729,4751,478,4901,4942,50939,51103,51259,5145,5148,51524,5158,5296,5340,5351,54880,5538,55572,55624,5627,583,5949,5961,5995,60,6010,6017,6094,6100,6101,6102,6103,6121,6295,6323,726,7275,7287,7399,7401,7439,762,7840,8260,8322,8481,8600,8842,9128,9129,9215,9227,9742",none
C1843700,Variation in muscle fiber size,"10020,1291,1292,1293,2273,22954,3679,4976,5428,54344,6261,6786,8291,8557,8878,9131",9
C0332573,Macule,"103,10320,10483,10804,1281,1289,207,2706,3106,3119,3123,3815,5290,5728,6390,6391,6392,6591,6785",5
C2364082,Sense of smell impaired,"10194,10371,11020,1848,2253,2260,23347,23400,23767,26012,3730,54756,55636,5781,6335,6342,6663,6870,8820,8822,9394",6
C1456784,Paranoia,"1109,1371,1621,1769,1893,3105,3126,3284,54487,6531,6622,6899,6908,6925,7297,79664,79694,8214,8220,9993",9
C0005612,Birth Weight,"111,153,1543,196,254251,284276,3077,4153,5168,5444,54901,57412,7515,8091",6
C0311394,Difficulty walking,"10585,1594,1756,1759,22880,23064,23111,23204,2705,3098,3315,4000,4038,427,540,55526,6444,6616,6834,7080,7169,7421,8139,825,8557,8838,8988,9570",4
C1276035,Pena-Shokeir syndrome type I,"1134,1144,1146,1272,2629,2733,285489,3800,4593,4654,5913,8506",7
C1859775,Anterior pituitary hypoplasia,"2260,2736,4990,5015,5449,5626,652,6657,6658,6926,8022,8820,9915",none
C0011853,"Diabetes Mellitus, Experimental","10891,1129,1374,1375,148,1535,1536,1543,155,1636,1728,183,1906,2101,2180,2309,23411,26291,2645,2820,2876,2936,3098,3162,3290,3375,3383,3397,3458,3479,355,3553,3569,3643,3651,3667,3767,3953,412,4217,4240,4313,4318,4353,4513,4535,467,4760,4825,4843,4846,488,489,5054,5080,51,5105,5126,5166,5213,5313,53637,5465,5468,5578,5580,5581,5743,57678,581,596,5970,5972,598,623,6277,6364,6376,641371,6514,6517,653361,6548,6550,6616,6647,6648,6720,7040,7076,7077,7124,7132,7157,7351,7422,7533,836,847,857,859,8639,8660,8698,9131,9294,968",6
C0028768,Obsessive-Compulsive Disorder,"1813,2006,2332,2334,23394,25836,26050,26608,2969,3218,3352,3356,3984,4952,5053,54902,55209,55636,5885,5982,627,6532,7337,7461,8243,887,8910,9031,9126,9569,9723,9968",none
C4025662,Abnormality of the ulna,"175,3845,5307,5604,5605,6473,658,673,7040,8200",0
C0426817,Short ribs,"1280,1301,1302,1836,2121,2146,2261,2316,23169,23594,249,26160,2879,3549,3636,3930,4750,4921,4998,51025,51684,55112,5727,5745,579,860,8643,9321,9786,9820",4
C1848736,Distal amyotrophy,"10020,10280,10397,10749,10908,1639,178,1785,1890,19,1959,22948,23095,23111,23503,26090,26137,2617,26278,26353,26580,2705,283,3315,3508,4000,4287,4359,4361,4747,50717,51062,5376,538,5428,54332,54840,5631,6310,6311,6663,7072,7415,7879,8139,8291,8565,8898,9499,9516,9927",4
C0149725,Lower respiratory tract infection,"1291,1292,1293,1305,3908,4261,4860,5591,5993,5994,8547,8625",none
C3809811,"PARKINSON DISEASE 19, JUVENILE-ONSET","11315,120892,27429,5071,5420,54832,65018,6622,7345,9829",0
C0232940,Secondary physiologic amenorrhea,"1848,1967,2253,2260,26012,2796,2798,3730,3814,3972,4000,5428,5468,55636,6866,6870,8822,8890,8891,8892,8893,9060,9394",6
C1843479,"Neurogenic muscle atrophy, especially in the lower limbs","10133,10479,10558,10801,10891,10939,11160,11284,11285,1140,1145,1280,1292,132,1374,1497,158,16,1610,1639,1760,2043,2065,2066,2218,2273,23025,2316,23230,23347,23396,23435,2483,2521,25915,25978,26235,2632,2673,2720,2733,2778,283,28982,29078,29110,2992,29920,29978,3074,3094,3178,3181,3339,3643,367,3679,4000,4204,4509,4534,4567,4694,4709,4715,4719,472,4720,4722,4723,4724,4726,4729,4744,4758,4967,50484,50846,50940,51010,51103,51761,5191,5213,5216,5255,5264,5296,5339,5354,54209,5428,5444,5445,5446,54463,547,54820,54902,55033,55131,55157,55526,55572,5566,5573,5630,5696,5832,6261,6311,6335,6445,649,6567,6647,7040,7148,7167,7169,7415,7436,7486,767,8622,8802,8803,8878,8988,9049,9056,9131,9197,9217,9499,953,966,9782,9896,9990",none
C2316810,Chronic kidney disease stage 5,"10806,1285,1286,1287,1497,22897,22909,2335,26146,27031,27130,3913,4582,4594,4627,4867,5076,51134,51196,51473,54443,54585,54806,5889,6928,7490,7827,9056,9657,9742,977",9
C0392525,Nephrolithiasis,"10686,11136,1184,1497,1591,22854,2290,2538,2542,2778,3081,3251,353,367,4204,525,5333,5340,540,5495,6476,6519,6569,6792,6928,7421,846,871,9049,9101,9368,9581",8
C0426970,Spastic Quadriplegia,"11019,1282,2018,22796,22931,23141,23189,23431,2517,2571,26227,2720,3796,3800,410,4337,4338,440,4990,51091,54820,549,55275,6326,6469,6496,6509,6567,6657,6663,6709,6812,7846,8050,8398,9179",9
C0265535,Trigonocephaly,"10225,2260,26005,2737,5727,5925,60,7546,8050,9343",none
C0023485,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,"100288687,10320,1490,2120,23269,2625,5079,55729,64109,6774,6929,861",3
C0002880,Autoimmune hemolytic anemia,"100,1493,355,3559,356,4683,4860,50943,5896,6563,6772,6786,7174,843,987",1
C2677378,Duodenal villous atrophy,"10195,11005,3559,4072,4261,4351,4645,50943,5122,5993,5994,6499,6772,6868,8625,9652",1
C4072826,Skin tag on the posterior cheek,"10262,10815,10907,1487,2138,2239,2260,2317,257,2719,2773,3954,4990,53834,6299,6495,652,7468,9343",none
C4020847,Abnormality of pelvic girdle bone morphology,"100,10682,1186,1277,1278,1280,1302,1513,2006,2121,2261,2263,2317,26160,26608,2969,3339,3984,4041,4593,4998,50964,51626,5251,55112,5832,5913,5982,6023,6916,7291,7415,7461,8443,8878,9031,9569,9742",1
C0079731,B-Cell Lymphomas,"100,10892,1440,27086,330,3492,406935,406937,472,4893,55840,5743,5770,595,8915",5
C4025252,Abnormal nasal morphology,"10000,10262,10370,1482,182,2067,2068,2073,2074,23414,2626,2627,2657,2702,5296,894",2
C0687120,Nephronophthisis,"10806,182,22897,22909,23090,23322,26146,26160,27031,27130,4867,51134,51259,51473,54806,7369,9657,9742",9
C0010964,Dandy-Walker Syndrome,"10585,10682,11041,1717,1858,2121,2218,2260,2296,23545,26227,2683,27031,2737,28952,29954,5340,54903,55640,6597,6598,6605,6664,699,701,7737,8289,9184,9215,9702,9897",0
C0007786,Brain Ischemia,"1051,1128,120,1233,142,1493,1636,1958,2006,213,2147,2153,23765,26191,26608,27113,2876,2969,3091,3115,3383,351,3552,3553,3557,3569,3588,3594,3605,3606,3627,3717,3725,3984,41,4318,4353,4512,4513,4514,4524,4535,4538,4540,4541,4558,4564,4567,4572,4574,4575,4578,4790,4792,4843,4854,5327,5328,54205,5594,5595,5604,5657,56616,5743,5925,5970,5982,627,6338,6340,6347,6348,6351,6356,6401,6647,6648,6774,7124,7132,7133,7157,7351,7461,836,842,847,8655,875,9031,9569",9
C0264133,Acquired flat foot,"10484,10743,1075,11285,1277,1278,1280,1289,1290,1387,1399,2006,2033,2200,2290,23096,2313,2314,2316,2317,2332,23545,26229,26608,2911,2969,3339,3984,4000,4010,4088,4247,4313,51114,5190,5351,538,54453,545,546,55033,55690,5594,5982,613,6197,6261,6299,6305,6497,6567,6925,7042,7043,7046,7048,7148,7227,7319,7436,7461,7840,7879,8139,8200,8450,9031,9244,9469,9496,9569,9820",none
C1856749,Hypoplastic-absent toenails,"1736,26277,5073,51750,55135,55505,55651,6473,7012,7015,8200,9241",7
C0020507,Hyperplasia,"10216,117579,1280,207,23028,23476,2740,3091,3162,3315,3578,3596,3775,3949,4143,4318,4613,4780,4968,5290,5597,5743,595,6934,7040,7538",4
C0018781,Noise-induced hearing loss,"100126346,3753,3784,406901,406902,406920,406959,406962,406985,407033,407034,407056,442899,442903,442907,494330,4968,554210,574447,57551,693124,9132",6
C0020455,Hypergammaglobulinemia,"11311,1991,23064,2629,4893,567,5696,6440,7015,9051",4
C1835763,Vertebral body fusion,"10815,1134,1144,1146,1487,2239,22827,2719,29123,3081,3954,4089,4621,4854,4920,4990,51684,53834,5727,6657,6660,6911,7468,8200,8643",none
C0206762,"Limb Deformities, Congenital","10082,1147,1302,1404,2263,3207,3237,3238,3239,3664,407975,6299,6926,7042,775,8626",2
C0038013,Ankylosing spondylitis,"118429,149233,196527,3105,3106,3593,51752,5734,64170,7850,864,9755",7
C0158733,Hand polydactyly,"10908,1947,2121,2187,26123,51626,5290,5728,641,6469,7547",0
C0085632,Apathy,"1639,1786,23435,25978,2629,2760,2896,29110,3073,4137,5155,5621,5663,6598,6683,8878",3
C0426891,Broad thumbs,"10847,1280,1387,1855,1954,2033,2146,2239,2260,2263,2316,2317,2702,2703,2719,2737,3756,3981,4920,51715,54888,6299,6608,7474,8239,9241,9939,9968",9
C0008780,Ciliary Motility Disorders,"10309,1063,115948,123872,161582,1767,221421,23322,23639,2622,27019,339829,345895,352909,374407,388389,51314,51364,54768,54919,55036,55130,55172,55764,56623,56683,6103,64446,6674,83538,83544,83861,8481,85478,8701,89765,92749,93233",none
C1836926,Fundus with peripheral 'bony spicules',"1258,23020,23418,24,25794,28982,3614,6010,6100,6101,7399,7401",8
C0036920,Sezary Syndrome,"1027,1029,1107,1233,1387,1493,1788,3561,5335,54790,5592,5594,5728,58508,5925,6195,6597,65980,673,6935,7133,7157,8085,8289,84433,9235,940",7
C1704375,Hypophosphatemic Rickets,"1184,1497,1758,2184,3172,3265,3845,4893,5167,5251,8074",4
C0009917,Contracture,"10216,10269,10479,10585,11019,11154,11285,1134,1144,1146,118429,1235,1280,1291,1292,1293,1294,1302,1303,1387,1410,1490,1756,1785,2006,2033,2068,2200,2218,2273,22931,22978,23431,23592,2517,2571,25782,2629,274,2799,2990,29954,3123,3329,3423,3425,35,3663,3763,3848,3908,4000,4312,4534,4747,51010,51085,5191,5277,5339,5352,5354,5373,5424,54332,5447,54551,55131,55157,55275,5538,55640,55699,579,6261,6389,6392,6442,6445,6567,6616,667,7169,7170,7317,8200,825,8443,857,8815,9215,9526,9719,9927,9968,9990",none
C4025819,Abnormality of the hypothalamus-pituitary axis,"10908,1493,26191,286,3077,3115,54476,5449,5626,5657,8022,8820",8
C1855038,Hepatocellular necrosis,"1352,1355,1716,37,4695,4704,4705,4722,4724,4728,55572,617,6389,6834",3
C0011351,Dental Enamel Hypoplasia,"1294,1387,1594,2033,2072,224,2255,2261,2263,2317,258,265,2697,2778,326,3655,3691,3694,3759,3861,3909,3914,3918,4763,4952,5116,5189,5339,545,7421,8481,860,8675,9076,9361",none
C1856266,Coronal craniosynostosis,"1947,2260,2261,2263,3590,5034,51715,5447,54928,5648,7291,7545,9401,9871",7
C0403553,Renal dysplasia and retinal aplasia (disorder),"10806,22897,26146,261734,27031,27130,4867,57728,80184,9657",9
