,disease_name,disease_num_significant,disease_top_10,lci_jaccard_sim,lci_num_significant,lci_sp_corr,lci_sp_pval,lci_top_10
C0006413,Burkitt Lymphoma,2,"{'positive regulation of RNA biosynthetic process', 'positive regulation of programmed cell death', 'positive regulation of cell death', 'protein-DNA complex disassembly', 'positive regulation of transcription, DNA-templated', 'positive regulation of nucleic acid-templated transcription', 'positive regulation of apoptotic process', 'transcription factor binding', 'positive regulation of RNA metabolic process', 'positive regulation of metanephros development'}",0.0,24,0.18540495185692138,4.11311888168385e-169,"{'alpha-amino acid metabolic process', 'one-carbon metabolic process', 'folic acid metabolic process', 'folic acid-containing compound metabolic process', 'embryonic digit morphogenesis', 'transcription regulatory region sequence-specific DNA binding', 'sequence-specific double-stranded DNA binding', 'transcription regulatory region DNA binding', 'proximal promoter sequence-specific DNA binding', 'regulatory region nucleic acid binding'}"
C0019158,Hepatitis,130,"{'organonitrogen compound metabolic process', 'response to stimulus', 'nitrogen compound metabolic process', 'extracellular region', 'regulation of programmed cell death', 'vesicle lumen', 'extracellular space', 'secretory granule lumen', 'cytoplasmic vesicle lumen', 'regulation of apoptotic process'}",0.15675675675675677,84,0.2285060156101995,3.7660245805584567e-258,"{'extracellular region part', 'membrane-enclosed lumen', 'blood microparticle', 'intracellular organelle lumen', 'organelle lumen', 'endoplasmic reticulum lumen', 'vesicle lumen', 'extracellular space', 'secretory granule lumen', 'cytoplasmic vesicle lumen'}"
C0003126,Anosmia,57,"{'fibroblast growth factor receptor binding', 'regulation of developmental growth', 'cell motility', 'tissue morphogenesis', 'locomotion', 'movement of cell or subcellular component', 'fibroblast growth factor receptor signaling pathway', 'chemorepellent activity', 'system development', 'lipid modification'}",0.10344827586206896,295,0.4048158453726664,0.0,"{'fibroblast growth factor receptor binding', 'phosphatidylinositol 3-kinase activity', 'phosphatidylinositol-4,5-bisphosphate 3-kinase activity', 'phosphatidylinositol-3-phosphate biosynthetic process', '1-phosphatidylinositol-3-kinase activity', 'phosphatidylinositol kinase activity', 'protein tyrosine kinase activity', 'fibroblast growth factor receptor signaling pathway', 'phosphatidylinositol bisphosphate kinase activity', 'phosphatidylinositol phosphorylation'}"
C0241074,Skin hyperelastic,419,"{'collagen fibril organization', 'animal organ morphogenesis', 'platelet-derived growth factor binding', 'ion binding', 'MAPK cascade', 'signal transduction by protein phosphorylation', 'animal organ development', 'anatomical structure morphogenesis', 'fibrillar collagen trimer', 'supramolecular fiber organization'}",0.31922398589065254,329,0.3678966896098149,0.0,"{'extracellular structure organization', 'platelet-derived growth factor binding', 'extracellular matrix organization', 'extracellular matrix structural constituent', 'growth factor binding', 'extracellular region', 'developmental process', 'extracellular space', 'collagen-containing extracellular matrix', 'extracellular matrix'}"
C0020459,Hyperinsulinism,339,"{'detection of light stimulus', 'multicellular organismal process', 'nervous system process', 'sensory perception', 'ciliary part', 'visual perception', 'phototransduction', 'system process', 'detection of external stimulus', 'sensory perception of light stimulus'}",0.12463343108504399,428,0.2814899870250428,0.0,"{'mRNA splicing, via spliceosome', 'catalytic step 2 spliceosome', 'mRNA processing', 'RNA splicing', 'spliceosomal complex', 'mRNA metabolic process', 'RNA splicing, via transesterification reactions', 'RNA splicing, via transesterification reactions with bulged adenosine as nucleophile', ""3',5'-cyclic-nucleotide phosphodiesterase activity"", 'cyclic-nucleotide phosphodiesterase activity'}"
C0020541,"Hypertension, Portal",186,"{'positive regulation of multicellular organismal process', 'positive regulation of phosphate metabolic process', 'mesenchyme morphogenesis', 'positive regulation of BMP signaling pathway', 'response to organic substance', 'positive regulation of phosphorus metabolic process', 'interleukin-12 receptor binding', 'positive regulation of pathway-restricted SMAD protein phosphorylation', 'cytokine receptor binding', 'positive regulation of cell population proliferation'}",0.15526315789473685,253,0.37359924042285453,0.0,"{'sperm ejaculation', 'positive regulation of secretion by cell', 'regulation of systemic arterial blood pressure by vasopressin', 'regulation of multicellular organismal process', 'inhibin binding', 'positive regulation of amine transport', 'inhibin-betaglycan-ActRII complex', 'transforming growth factor beta receptor binding', 'vasopressin receptor activity', 'positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway'}"
C0014474,Ependymoma,157,"{'mismatch repair complex binding', 'mismatch repair', 'somatic hypermutation of immunoglobulin genes', 'somatic diversification of immune receptors via somatic mutation', 'guanine/thymine mispair binding', 'somatic diversification of immunoglobulins', 'single base insertion or deletion binding', 'mismatch repair complex', 'mismatched DNA binding', 'somatic diversification of immune receptors'}",0.13020833333333334,277,0.27826295390218614,0.0,"{'DNA-dependent ATPase activity', 'response to stress', 'DNA replication', 'cellular response to stress', 'cellular response to DNA damage stimulus', 'telomere maintenance', 'telomere organization', 'DNA repair', 'DNA metabolic process', 'chromosome organization'}"
C4020838,Relative short stature,42,"{'collagen fibril organization', 'extracellular structure organization', 'extracellular matrix organization', 'extracellular matrix structural constituent conferring tensile strength', 'skeletal system development', 'collagen trimer', 'extracellular matrix structural constituent', 'endoplasmic reticulum lumen', 'collagen-containing extracellular matrix', 'extracellular matrix'}",0.3188405797101449,49,0.2949825518042516,0.0,"{'extracellular structure organization', 'platelet-derived growth factor binding', 'extracellular matrix organization', 'extracellular matrix structural constituent conferring tensile strength', 'collagen trimer', 'extracellular matrix structural constituent', 'structural molecule activity', 'extracellular space', 'collagen-containing extracellular matrix', 'extracellular matrix'}"
C0221170,Muscular stiffness,1,"{'transmembrane transport', 'ion transport', 'ion transmembrane transport', 'anion transmembrane transport', 'intrinsic component of plasma membrane', 'monocarboxylic acid metabolic process', 'integral component of plasma membrane', 'plasma membrane part', 'membrane', 'muscle contraction'}",0.0,82,0.27655009296542443,0.0,"{'GABA receptor activity', 'ligand-gated anion channel activity', 'GABA receptor complex', 'GABA-A receptor activity', 'gamma-aminobutyric acid signaling pathway', 'benzodiazepine receptor activity', 'GABA-gated chloride ion channel activity', 'chloride channel complex', 'GABA-A receptor complex', 'synaptic transmission, GABAergic'}"
C3275417,Ragged-red fibers,92,"{'mitochondrial part', 'inner mitochondrial membrane protein complex', 'respiratory electron transport chain', 'mitochondrial inner membrane', 'mitochondrial membrane part', 'mitochondrial protein complex', 'respiratory chain complex', 'organelle inner membrane', 'electron transport chain', 'generation of precursor metabolites and energy'}",0.34710743801652894,71,0.34888649858049336,0.0,"{'mitochondrial respiratory chain complex I', 'mitochondrial respiratory chain complex I assembly', 'NADH dehydrogenase (ubiquinone) activity', 'NADH dehydrogenase (quinone) activity', 'NADH dehydrogenase activity', 'oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor', 'NADH dehydrogenase complex assembly', 'respiratory chain complex', 'NADH dehydrogenase complex', 'respiratory chain complex I'}"
C0349204,Nonorganic psychosis,327,"{'multicellular organismal process', 'cellular process', 'cell part', 'biological_process', 'regulation of cellular process', 'regulation of biological process', 'cellular_component', 'molecular_function', 'intracellular part', 'biological regulation'}",0.2132752992383025,788,0.3629079179155551,0.0,"{'positive regulation of multicellular organismal process', 'cellular calcium ion homeostasis', 'regulation of biological quality', 'calcium ion homeostasis', 'chemical homeostasis', 'signal transduction', 'positive regulation of molecular function', 'plasma membrane part', 'homeostatic process', 'store-operated calcium channel activity'}"
C0007787,Transient Ischemic Attack,159,"{'regulation of cell death', 'positive regulation of cellular protein metabolic process', 'positive regulation of cell death', 'regulation of cellular protein metabolic process', 'regulation of apoptotic process', 'positive regulation of protein metabolic process', 'regulation of programmed cell death', 'signal transduction', 'regulation of protein metabolic process', 'regulation of neuron death'}",0.030612244897959183,43,0.09018549377001489,6.601680869924426e-41,"{'fatty acid oxidation', 'oxidoreductase activity, acting on the CH-CH group of donors', 'fatty acid catabolic process', 'acyl-CoA dehydrogenase activity', 'oxidation-reduction process', 'fatty acid beta-oxidation', 'antioxidant activity', 'oxidoreductase activity', 'flavin adenine dinucleotide binding', 'lipid oxidation'}"
C0018916,Hemangioma,97,"{'regulation of epithelial cell proliferation', 'tricarboxylic acid metabolic process', 'tricarboxylic acid cycle', 'cytoplasmic part', 'mitochondrion', 'citrate metabolic process', 'positive regulation of epithelial cell proliferation', 'regulation of cell population proliferation', 'glyoxylate cycle', 'catalytic activity'}",0.007518796992481203,37,0.14519104993530874,8.7613741656437e-104,"{'lysosomal lumen', 'vitamin binding', 'aminoglycan catabolic process', 'organonitrogen compound catabolic process', 'membrane-enclosed lumen', 'carbohydrate derivative catabolic process', 'intracellular organelle lumen', 'organelle lumen', 'vacuolar lumen', 'glycosaminoglycan catabolic process'}"
C1837485,Flat acetabular roof,0,"{'extracellular structure organization', 'extracellular region part', 'extracellular matrix organization', 'extracellular matrix structural constituent', 'replacement ossification', 'endochondral ossification', 'small molecule metabolic process', 'ossification', 'sulfur compound metabolic process', 'carbohydrate derivative metabolic process'}",0.0,42,0.15264705639472503,1.2251317453228992e-114,"{'extracellular structure organization', 'growth plate cartilage morphogenesis', 'extracellular matrix organization', 'extracellular matrix structural constituent conferring tensile strength', 'extracellular matrix structural constituent', 'chondrocyte morphogenesis involved in endochondral bone morphogenesis', 'collagen-containing extracellular matrix', 'chondrocyte morphogenesis', 'extracellular matrix', 'growth plate cartilage chondrocyte morphogenesis'}"
C0007222,Cardiovascular Diseases,935,"{'multicellular organismal process', 'regulation of blood vessel size', 'circulatory system process', 'extracellular region', 'developmental process', 'extracellular space', 'system process', 'regulation of tube diameter', 'regulation of tube size', 'regulation of blood vessel diameter'}",0.11928429423459244,191,0.27455165474605464,0.0,"{'triglyceride-rich lipoprotein particle remodeling', 'extracellular structure organization', 'high-density lipoprotein particle remodeling', 'endoplasmic reticulum part', 'small molecule metabolic process', 'extracellular region', 'extracellular space', 'steroid metabolic process', 'lipid metabolic process', 'reverse cholesterol transport'}"
C2673410,Small midface,817,"{'animal organ morphogenesis', 'multicellular organismal process', 'cellular process', 'anatomical structure development', 'biological_process', 'cell development', 'developmental process', 'anatomical structure morphogenesis', 'molecular_function', 'cellular developmental process'}",0.2946708463949843,1661,0.41698444839511944,0.0,"{'negative regulation of biological process', 'response to organic substance', 'response to endogenous stimulus', 'cellular response to organic substance', 'animal organ development', 'cellular response to endogenous stimulus', 'negative regulation of cellular process', 'developmental process', 'enzyme linked receptor protein signaling pathway', 'cellular response to stimulus'}"
C0234182,Gowers sign,58,"{'Z disc', 'cytoskeleton organization', 'contractile fiber part', 'muscle system process', 'structural constituent of muscle', 'cytoskeletal protein binding', 'neuromuscular junction', 'sarcolemma', 'muscle contraction', 'muscle cell cellular homeostasis'}",0.17647058823529413,42,0.2594300082506534,0.0,"{'glycoprotein complex', 'intrinsic component of membrane', 'integral component of membrane', 'ammonium ion binding', 'sarcoglycan complex', 'membrane part', 'plasma membrane protein complex', 'sarcolemma', 'dystrophin-associated glycoprotein complex', 'neurotransmitter binding'}"
C0023493,Adult T-Cell Lymphoma/Leukemia,706,"{'regulation of leukocyte cell-cell adhesion', 'cell surface receptor signaling pathway', 'positive regulation of biological process', 'lymphocyte activation', 'positive regulation of leukocyte activation', 'positive regulation of cell activation', 'regulation of lymphocyte activation', 'regulation of T cell activation', 'regulation of cell activation', 'regulation of leukocyte activation'}",0.2838479809976247,375,0.3887464610019395,0.0,"{'cytokine receptor binding', 'cytokine-mediated signaling pathway', 'cell proliferation involved in kidney development', 'cell surface receptor signaling pathway', 'chemokine receptor binding', 'chemotaxis', 'cell chemotaxis', 'taxis', 'CCR chemokine receptor binding', 'signal transduction'}"
C0023434,Chronic Lymphocytic Leukemia,412,"{'myeloid leukocyte differentiation', 'response to abiotic stimulus', 'positive regulation of cellular process', 'positive regulation of programmed cell death', 'response to stimulus', 'response to organic substance', 'positive regulation of cell death', 'positive regulation of apoptotic process', 'regulation of bone resorption', 'regulation of tissue remodeling'}",0.2298951048951049,995,0.39515101068274283,0.0,"{'negative regulation of cellular macromolecule biosynthetic process', 'negative regulation of nucleobase-containing compound metabolic process', 'nuclear chromosome part', 'chromatin binding', 'chromatin', 'negative regulation of nitrogen compound metabolic process', 'transcription factor binding', 'chromosomal part', 'positive regulation of nucleobase-containing compound metabolic process', 'positive regulation of macromolecule metabolic process'}"
C0239946,"Fibrosis, Liver",78,"{'plasma membrane bounded cell projection assembly', 'cell projection assembly', 'organelle assembly', 'cilium assembly', 'cilium', 'plasma membrane bounded cell projection organization', 'cilium organization', 'non-motile cilium assembly', 'ciliary basal body', 'cell projection organization'}",0.11055276381909548,143,0.36772041030726016,0.0,"{'plasma membrane bounded cell projection assembly', 'interleukin-23-mediated signaling pathway', 'organelle assembly', 'cell projection assembly', 'BBSome', 'cilium organization', 'non-motile cilium assembly', 'RNA polymerase II repressing transcription factor binding', 'cilium assembly', 'positive regulation of T-helper 17 cell lineage commitment'}"
C0013336,Dwarfism,50,"{'cellular metabolic process', 'cellular process', 'metabolic process', 'chondrocyte differentiation', 'replacement ossification', 'identical protein binding', 'tissue development', 'skeletal system development', 'endochondral ossification', 'growth hormone receptor signaling pathway via JAK-STAT'}",0.08368200836820083,209,0.22769362549310304,2.768331549305676e-256,"{'lysosomal lumen', 'extracellular region part', 'membrane-enclosed lumen', 'carbohydrate derivative catabolic process', 'hydrolase activity, hydrolyzing O-glycosyl compounds', 'vacuolar lumen', 'extracellular region', 'hydrolase activity, acting on glycosyl bonds', 'collagen-containing extracellular matrix', 'extracellular matrix'}"
C0014591,Epistaxis,337,"{'multicellular organismal process', 'regulation of biological quality', 'coagulation', 'response to stimulus', 'blood coagulation', 'hemostasis', 'platelet aggregation', 'regulation of body fluid levels', 'homotypic cell-cell adhesion', 'protein activation cascade'}",0.3488843813387424,328,0.3924622044543078,0.0,"{'regulation of response to wounding', 'coagulation', 'blood coagulation', 'regulation of blood coagulation', 'regulation of coagulation', 'hemostasis', 'extracellular space', 'regulation of wound healing', 'regulation of body fluid levels', 'regulation of hemostasis'}"
C0870082,Hyperkeratosis,352,"{'global genome nucleotide-excision repair', 'UV protection', 'nucleotide-excision repair, preincision complex stabilization', 'nucleotide-excision repair complex', ""nucleotide-excision repair, DNA incision, 5'-to lesion"", 'nucleotide-excision repair, preincision complex assembly', 'damaged DNA binding', 'response to UV', 'response to light stimulus', 'nucleotide-excision repair, DNA incision'}",0.12981744421906694,205,0.3369055150458611,0.0,"{'cellular metabolic process', 'cellular glucuronidation', 'organic substance metabolic process', 'metabolic process', 'primary metabolic process', 'cellular hormone metabolic process', 'small molecule metabolic process', 'steroid metabolic process', 'lipid metabolic process', 'catalytic activity'}"
C0338715,Drug-induced depressive state,67,"{'regulation of secretion by cell', 'positive regulation of secretion by cell', 'positive regulation of transport', 'positive regulation of secretion', 'multi-organism process', 'response to external biotic stimulus', 'response to biotic stimulus', 'regulation of secretion', 'response to virus', 'response to external stimulus'}",0.0,0,0.10367418723475574,1.472486887238621e-53,"{'oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen', 'phenol-containing compound metabolic process', 'neurotransmitter metabolic process', 'serotonin metabolic process', 'neuropeptide signaling pathway', 'regulation of appetite', 'regulation of neurotransmitter levels', 'regulation of response to food', 'regulation of blood pressure', 'primary amino compound metabolic process'}"
C0431904,Ulnar polydactyly of fingers,333,"{'plasma membrane bounded cell projection assembly', 'cell projection assembly', 'cilium assembly', 'cilium', 'plasma membrane bounded cell projection organization', 'cilium organization', 'non-motile cilium assembly', 'ciliary part', 'embryonic morphogenesis', 'cell projection organization'}",0.028645833333333332,62,0.17527534553290142,4.484651220959075e-151,"{'regulation of protein localization to chromosome, telomeric region', 'chaperonin-containing T-complex', 'positive regulation of establishment of protein localization to telomere', 'regulation of protein localization to Cajal body', 'positive regulation of protein localization to Cajal body', 'regulation of establishment of protein localization to telomere', 'regulation of establishment of protein localization to chromosome', 'skeletal system development', 'positive regulation of protein localization to chromosome, telomeric region', 'zona pellucida receptor complex'}"
C1328931,Multiple lentigines,190,"{'regulation of protein kinase activity', 'regulation of kinase activity', 'positive regulation of protein phosphorylation', 'positive regulation of protein kinase activity', 'positive regulation of kinase activity', 'positive regulation of transferase activity', 'regulation of transferase activity', 'regulation of protein serine/threonine kinase activity', 'positive regulation of MAP kinase activity', 'activation of protein kinase activity'}",0.015306122448979591,9,0.1646747632113279,2.3968700170958763e-133,"{'MAPK cascade', 'pigment granule membrane', 'small GTPase mediated signal transduction', 'melanin metabolic process', 'signal transduction by protein phosphorylation', 'Ras protein signal transduction', 'melanosome membrane', 'intracellular signal transduction', 'secondary metabolite biosynthetic process', 'melanin biosynthetic process'}"
C4020958,Rough bone trabeculation,132,"{'telomerase holoenzyme complex', 'RNA-dependent DNA biosynthetic process', 'anatomical structure homeostasis', 'telomere maintenance', 'telomere maintenance via telomerase', 'telomerase RNA binding', 'box H/ACA telomerase RNP complex', 'telomere organization', 'chromosome organization', 'telomere maintenance via telomere lengthening'}",0.007246376811594203,7,0.13873262733282837,7.739601054894875e-95,"{'snoRNA guided rRNA pseudouridine synthesis', 'positive regulation of telomerase RNA localization to Cajal body', 'cellular component biogenesis', 'small nucleolar ribonucleoprotein complex assembly', 'ribonucleoprotein complex biogenesis', 'rRNA pseudouridine synthesis', 'ribosome biogenesis', 'box H/ACA snoRNP assembly', 'pseudouridine synthesis', 'snoRNA metabolic process'}"
C0042510,Ventricular Fibrillation,194,"{'regulation of heart rate', 'regulation of membrane repolarization', 'cardiac muscle cell action potential', 'cardiac muscle cell action potential involved in contraction', 'regulation of ventricular cardiac muscle cell membrane repolarization', 'regulation of cardiac muscle cell membrane repolarization', 'regulation of heart contraction', 'regulation of transmembrane transport', 'ventricular cardiac muscle cell action potential', 'action potential'}",0.5192307692307693,122,0.45036325197838734,0.0,"{'potassium channel complex', 'regulation of potassium ion transport', 'voltage-gated potassium channel activity', 'potassium ion transmembrane transport', 'potassium ion transmembrane transporter activity', 'regulation of transmembrane transport', 'potassium ion transport', 'regulation of ion transmembrane transport', 'potassium channel activity', 'regulation of potassium ion transmembrane transport'}"
C0037293,Skin tag,189,"{'negative regulation of signal transduction', 'anatomical structure development', 'neural tube closure', 'animal organ development', 'regulation of signal transduction', 'protein kinase B signaling', 'anatomical structure formation involved in morphogenesis', 'tube closure', 'tube formation', 'negative regulation of macroautophagy'}",0.11387900355871886,124,0.23948203407276278,4.308963846380812e-284,"{'lipid phosphorylation', 'fibroblast growth factor receptor binding', 'phosphatidylinositol 3-kinase activity', 'phosphatidylinositol-4,5-bisphosphate 3-kinase activity', 'phosphatidylinositol-3-phosphate biosynthetic process', 'phosphatidylinositol kinase activity', '1-phosphatidylinositol-3-kinase activity', 'fibroblast growth factor receptor signaling pathway', 'phosphatidylinositol bisphosphate kinase activity', 'phosphatidylinositol phosphorylation'}"
C0271578,Female hypogonadism syndrome,81,"{'phosphatidylinositol 3-kinase activity', 'reproductive process', 'phosphatidylinositol-3-phosphate biosynthetic process', '1-phosphatidylinositol-3-kinase activity', 'phosphatidylinositol kinase activity', 'regulation of cell communication', 'fibroblast growth factor receptor signaling pathway', 'regulation of cell motility', 'signal transduction', 'regulation of signaling'}",0.1875,147,0.42090287759369904,0.0,"{'lipid phosphorylation', 'fibroblast growth factor receptor binding', 'phosphatidylinositol 3-kinase activity', 'phosphatidylinositol-4,5-bisphosphate 3-kinase activity', 'phosphatidylinositol-3-phosphate biosynthetic process', 'phosphatidylinositol kinase activity', '1-phosphatidylinositol-3-kinase activity', 'fibroblast growth factor receptor signaling pathway', 'phosphatidylinositol bisphosphate kinase activity', 'phosphatidylinositol phosphorylation'}"
C1398312,Narrow palate,219,"{'animal organ morphogenesis', 'regulation of transcription, DNA-templated', 'regulation of cell differentiation', 'regulation of multicellular organismal process', 'regulation of multicellular organismal development', 'regulation of transcription by RNA polymerase II', 'anatomical structure morphogenesis', 'regulation of developmental process', 'positive regulation of transcription by RNA polymerase II', 'embryonic morphogenesis'}",0.09363295880149813,73,0.3226445672143561,0.0,"{'anatomical structure development', 'fibroblast growth factor binding', 'lung development', 'animal organ development', 'fibroblast growth factor-activated receptor activity', 'fibroblast growth factor receptor signaling pathway', 'embryonic appendage morphogenesis', 'collagen-containing extracellular matrix', 'heparin binding', 'embryonic limb morphogenesis'}"
C1857202,Frequent vomiting,60,"{'organelle membrane', 'aerobic respiration', 'mitochondrial part', 'cytochrome complex', 'respiratory electron transport chain', 'mitochondrial inner membrane', 'mitochondrial membrane', 'respiratory chain complex', 'organelle inner membrane', 'electron transport chain'}",0.4050632911392405,51,0.5159726337176166,0.0,"{'mitochondrial respiratory chain complex I', 'mitochondrial respiratory chain complex I assembly', 'NADH dehydrogenase (ubiquinone) activity', 'NADH dehydrogenase (quinone) activity', 'NADH dehydrogenase activity', 'oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor', 'NADH dehydrogenase complex assembly', 'respiratory chain complex', 'NADH dehydrogenase complex', 'respiratory chain complex I'}"
